"Plot Title: Chel_DO_2"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21837009, SEN S/N: 21837009, LBL: DO)","Temp, °C (LGR S/N: 21837009, SEN S/N: 21837009, LBL: Temp)"
1,10/19/23 10:00:00 AM,7.11,14.26
2,10/19/23 10:15:00 AM,7.12,14.26
3,10/19/23 10:30:00 AM,7.16,14.26
4,10/19/23 10:45:00 AM,7.15,14.26
5,10/19/23 11:00:00 AM,7.23,14.28
6,10/19/23 11:15:00 AM,7.31,14.30
7,10/19/23 11:30:00 AM,7.42,14.30
8,10/19/23 11:45:00 AM,7.46,14.30
9,10/19/23 12:00:00 PM,7.47,14.30
10,10/19/23 12:15:00 PM,7.49,14.30
11,10/19/23 12:30:00 PM,7.51,14.30
12,10/19/23 12:45:00 PM,7.47,14.32
13,10/19/23 01:00:00 PM,7.80,14.38
14,10/19/23 01:15:00 PM,7.94,14.42
15,10/19/23 01:30:00 PM,7.98,14.42
16,10/19/23 01:45:00 PM,7.76,14.38
17,10/19/23 02:00:00 PM,7.75,14.40
18,10/19/23 02:15:00 PM,7.82,14.40
19,10/19/23 02:30:00 PM,7.87,14.44
20,10/19/23 02:45:00 PM,7.82,14.54
21,10/19/23 03:00:00 PM,8.07,14.62
22,10/19/23 03:15:00 PM,7.31,14.50
23,10/19/23 03:30:00 PM,7.46,14.38
24,10/19/23 03:45:00 PM,7.09,14.32
25,10/19/23 04:00:00 PM,6.88,14.26
26,10/19/23 04:15:00 PM,6.83,14.24
27,10/19/23 04:30:00 PM,6.84,14.24
28,10/19/23 04:45:00 PM,6.86,14.24
29,10/19/23 05:00:00 PM,6.83,14.22
30,10/19/23 05:15:00 PM,6.81,14.18
31,10/19/23 05:30:00 PM,6.82,14.18
32,10/19/23 05:45:00 PM,6.82,14.16
33,10/19/23 06:00:00 PM,6.70,14.16
34,10/19/23 06:15:00 PM,6.58,14.16
35,10/19/23 06:30:00 PM,6.63,14.16
36,10/19/23 06:45:00 PM,6.65,14.16
37,10/19/23 07:00:00 PM,6.59,14.16
38,10/19/23 07:15:00 PM,6.47,14.16
39,10/19/23 07:30:00 PM,6.48,14.16
40,10/19/23 07:45:00 PM,6.68,14.18
41,10/19/23 08:00:00 PM,6.72,14.16
42,10/19/23 08:15:00 PM,6.65,14.18
43,10/19/23 08:30:00 PM,6.61,14.20
44,10/19/23 08:45:00 PM,6.61,14.20
45,10/19/23 09:00:00 PM,6.64,14.18
46,10/19/23 09:15:00 PM,6.76,14.16
47,10/19/23 09:30:00 PM,6.68,14.14
48,10/19/23 09:45:00 PM,6.72,14.14
49,10/19/23 10:00:00 PM,6.71,14.14
50,10/19/23 10:15:00 PM,6.71,14.14
51,10/19/23 10:30:00 PM,6.71,14.14
52,10/19/23 10:45:00 PM,6.73,14.14
53,10/19/23 11:00:00 PM,6.74,14.14
54,10/19/23 11:15:00 PM,6.71,14.14
55,10/19/23 11:30:00 PM,6.71,14.14
56,10/19/23 11:45:00 PM,6.71,14.16
57,10/20/23 12:00:00 AM,6.84,14.18
58,10/20/23 12:15:00 AM,7.04,14.32
59,10/20/23 12:30:00 AM,7.14,14.34
60,10/20/23 12:45:00 AM,7.27,14.40
61,10/20/23 01:00:00 AM,7.25,14.42
62,10/20/23 01:15:00 AM,7.15,14.42
63,10/20/23 01:30:00 AM,7.00,14.40
64,10/20/23 01:45:00 AM,6.61,14.38
65,10/20/23 02:00:00 AM,6.10,14.34
66,10/20/23 02:15:00 AM,5.82,14.40
67,10/20/23 02:30:00 AM,9.26,14.68
68,10/20/23 02:45:00 AM,9.24,14.76
69,10/20/23 03:00:00 AM,9.25,14.76
70,10/20/23 03:15:00 AM,9.24,14.78
71,10/20/23 03:30:00 AM,9.23,14.82
72,10/20/23 03:45:00 AM,9.23,14.88
73,10/20/23 04:00:00 AM,9.22,14.90
74,10/20/23 04:15:00 AM,9.23,14.84
75,10/20/23 04:30:00 AM,9.24,14.80
76,10/20/23 04:45:00 AM,9.26,14.76
77,10/20/23 05:00:00 AM,6.02,14.58
78,10/20/23 05:15:00 AM,7.51,14.72
79,10/20/23 05:30:00 AM,7.77,14.80
80,10/20/23 05:45:00 AM,7.64,14.84
81,10/20/23 06:00:00 AM,7.37,14.74
82,10/20/23 06:15:00 AM,7.05,14.50
83,10/20/23 06:30:00 AM,7.04,14.48
84,10/20/23 06:45:00 AM,7.10,14.48
85,10/20/23 07:00:00 AM,7.01,14.44
86,10/20/23 07:15:00 AM,6.98,14.48
87,10/20/23 07:30:00 AM,6.69,14.52
88,10/20/23 07:45:00 AM,7.19,14.58
89,10/20/23 08:00:00 AM,6.88,14.58
90,10/20/23 08:15:00 AM,6.87,14.52
91,10/20/23 08:30:00 AM,6.99,14.56
92,10/20/23 08:45:00 AM,7.20,14.56
93,10/20/23 09:00:00 AM,7.15,14.56
94,10/20/23 09:15:00 AM,7.02,14.54
95,10/20/23 09:30:00 AM,7.06,14.50
96,10/20/23 09:45:00 AM,7.08,14.54
97,10/20/23 10:00:00 AM,6.99,14.54
98,10/20/23 10:15:00 AM,7.02,14.54
99,10/20/23 10:30:00 AM,7.09,14.54
100,10/20/23 10:45:00 AM,7.03,14.52
101,10/20/23 11:00:00 AM,7.19,14.52
102,10/20/23 11:15:00 AM,7.20,14.52
103,10/20/23 11:30:00 AM,7.43,14.56
104,10/20/23 11:45:00 AM,7.62,14.60
105,10/20/23 12:00:00 PM,7.51,14.54
106,10/20/23 12:15:00 PM,7.46,14.50
107,10/20/23 12:30:00 PM,7.51,14.46
108,10/20/23 12:45:00 PM,7.51,14.42
109,10/20/23 01:00:00 PM,7.46,14.42
110,10/20/23 01:15:00 PM,7.42,14.40
111,10/20/23 01:30:00 PM,7.44,14.40
112,10/20/23 01:45:00 PM,7.44,14.38
113,10/20/23 02:00:00 PM,7.49,14.40
114,10/20/23 02:15:00 PM,7.64,14.40
115,10/20/23 02:30:00 PM,7.61,14.44
116,10/20/23 02:45:00 PM,7.79,14.54
