#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,6/24/2024 16:00,6.78,33.92
2,6/24/2024 16:15,15.3,20.88
3,6/24/2024 16:30,16.15,17.96
4,6/24/2024 16:45,15.98,17.62
5,6/24/2024 17:00,16.71,17.56
6,6/24/2024 17:15,16.1,17.12
7,6/24/2024 17:30,15.82,16.9
8,6/24/2024 17:45,15.8,16.9
9,6/24/2024 18:00,15.67,16.58
10,6/24/2024 18:15,15.57,16.46
11,6/24/2024 18:30,15.29,16.1
12,6/24/2024 18:45,15.1,15.46
13,6/24/2024 19:00,14.97,15.18
14,6/24/2024 19:15,14.77,14.96
15,6/24/2024 19:30,14.42,14.82
16,6/24/2024 19:45,13.77,14.66
17,6/24/2024 20:00,13.2,14.38
18,6/24/2024 20:15,13.04,14.34
19,6/24/2024 20:30,12.63,14.12
20,6/24/2024 20:45,12.13,14
21,6/24/2024 21:00,11.52,14.02
22,6/24/2024 21:15,11.26,13.8
23,6/24/2024 21:30,10.9,13.7
24,6/24/2024 21:45,10.95,13.68
25,6/24/2024 22:00,10.73,13.66
26,6/24/2024 22:15,11.26,13.62
27,6/24/2024 22:30,11.17,13.62
28,6/24/2024 22:45,11.3,13.62
29,6/24/2024 23:00,10.67,13.56
30,6/24/2024 23:15,11.36,13.56
31,6/24/2024 23:30,11.37,13.56
32,6/24/2024 23:45,11.42,13.54
33,6/25/2024 0:00,11.43,13.54
34,6/25/2024 0:15,11.36,13.56
35,6/25/2024 0:30,11.35,13.58
36,6/25/2024 0:45,11.33,13.6
37,6/25/2024 1:00,11.3,13.64
38,6/25/2024 1:15,11.36,13.66
39,6/25/2024 1:30,11.33,13.68
40,6/25/2024 1:45,11.36,13.7
41,6/25/2024 2:00,11.41,13.72
42,6/25/2024 2:15,11.4,13.72
43,6/25/2024 2:30,11.35,13.74
44,6/25/2024 2:45,11.3,13.74
45,6/25/2024 3:00,11.27,13.72
46,6/25/2024 3:15,10.9,13.7
47,6/25/2024 3:30,11.15,13.7
48,6/25/2024 3:45,11.02,13.68
49,6/25/2024 4:00,10.81,13.7
50,6/25/2024 4:15,10.83,13.7
51,6/25/2024 4:30,11.06,13.7
52,6/25/2024 4:45,10.86,13.74
53,6/25/2024 5:00,10.62,13.74
54,6/25/2024 5:15,11.02,13.82
55,6/25/2024 5:30,10.15,13.8
56,6/25/2024 5:45,10.57,13.7
57,6/25/2024 6:00,10.69,13.64
58,6/25/2024 6:15,10.82,13.62
59,6/25/2024 6:30,10.86,13.58
60,6/25/2024 6:45,10.85,13.56
61,6/25/2024 7:00,10.9,13.52
62,6/25/2024 7:15,10.62,13.52
63,6/25/2024 7:30,10.66,13.5
64,6/25/2024 7:45,10.56,13.5
65,6/25/2024 8:00,10.47,13.5
66,6/25/2024 8:15,10.75,13.5
67,6/25/2024 8:30,11.03,13.54
68,6/25/2024 8:45,11.37,13.56
69,6/25/2024 9:00,11.35,13.52
70,6/25/2024 9:15,11.53,13.5
71,6/25/2024 9:30,11.58,13.52
72,6/25/2024 9:45,11.63,13.52
73,6/25/2024 10:00,11.7,13.54
74,6/25/2024 10:15,11.85,13.58
75,6/25/2024 10:30,12.17,13.7
76,6/25/2024 10:45,12.46,13.82
77,6/25/2024 11:00,12.66,14.06
78,6/25/2024 11:15,13.49,14.6
79,6/25/2024 11:30,14.05,14.98
80,6/25/2024 11:45,14.35,15.18
81,6/25/2024 12:00,14.61,15.36
82,6/25/2024 12:15,15,15.62
83,6/25/2024 12:30,15.44,16
84,6/25/2024 12:45,15.84,16.42
85,6/25/2024 13:00,15.86,17.44
86,6/25/2024 13:15,9.68,17.58
87,6/25/2024 13:30,9.47,18.64
88,6/25/2024 13:45,9.06,20.6
89,6/25/2024 14:00,8.73,22.6
90,6/25/2024 14:15,8.37,24.44
91,6/25/2024 14:30,8.06,26.16
92,6/25/2024 14:45,7.8,27.78
93,6/25/2024 15:00,7.42,30.2
94,6/25/2024 15:15,7.06,32.9
95,6/25/2024 15:30,6.77,34.6
96,6/25/2024 15:45,6.72,35.4
97,6/25/2024 16:00,6.52,37.58
98,6/25/2024 16:15,6.3,39.1
99,6/25/2024 16:30,6.22,39.48
100,6/25/2024 16:45,14.59,25.12
101,6/25/2024 17:00,16.02,19.52
102,6/25/2024 17:15,16.54,17.22
103,6/25/2024 17:30,16.36,16.44
104,6/25/2024 17:45,16.54,16.66
105,6/25/2024 18:00,16.39,17.38
106,6/25/2024 18:15,16.13,17.28
107,6/25/2024 18:30,16.25,16.64
108,6/25/2024 18:45,16.34,16.76
109,6/25/2024 19:00,15.73,15.2
110,6/25/2024 19:15,15.21,14.78
111,6/25/2024 19:30,15.34,14.9
112,6/25/2024 19:45,15.61,14.88
113,6/25/2024 20:00,15.51,14.78
114,6/25/2024 20:15,15.27,14.94
115,6/25/2024 20:30,15.53,14.82
116,6/25/2024 20:45,15.38,14.72
117,6/25/2024 21:00,14.84,14.58
118,6/25/2024 21:15,12.94,14.22
119,6/25/2024 21:30,12.65,14.12
120,6/25/2024 21:45,12.45,14.08
121,6/25/2024 22:00,12.28,14.02
122,6/25/2024 22:15,11.93,14
123,6/25/2024 22:30,11.61,13.98
124,6/25/2024 22:45,11.88,13.98
125,6/25/2024 23:00,12.04,14.02
126,6/25/2024 23:15,12.43,14.1
127,6/25/2024 23:30,12.35,14.06
128,6/25/2024 23:45,12.27,14.02
129,6/26/2024 0:00,12.19,14
130,6/26/2024 0:15,12.19,13.94
131,6/26/2024 0:30,12.12,13.92
132,6/26/2024 0:45,12.15,13.92
133,6/26/2024 1:00,12.18,13.94
134,6/26/2024 1:15,12.22,13.94
135,6/26/2024 1:30,12.28,13.96
136,6/26/2024 1:45,12.34,13.98
137,6/26/2024 2:00,12.35,13.98
138,6/26/2024 2:15,12.34,14
139,6/26/2024 2:30,12.35,14
140,6/26/2024 2:45,12.29,14
141,6/26/2024 3:00,12.21,14
