#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,5/9/2024 17:00,15.2,13.12
2,5/9/2024 17:15,15.05,12.52
3,5/9/2024 17:30,14.42,12.54
4,5/9/2024 17:45,14.57,12.72
5,5/9/2024 18:00,13.35,12.42
6,5/9/2024 18:15,13.23,12.1
7,5/9/2024 18:30,12.54,11.9
8,5/9/2024 18:45,12.12,11.78
9,5/9/2024 19:00,12.11,11.72
10,5/9/2024 19:15,11.88,11.66
11,5/9/2024 19:30,11.68,11.62
12,5/9/2024 19:45,11.62,11.58
13,5/9/2024 20:00,12.4,11.72
14,5/9/2024 20:15,12.34,11.68
15,5/9/2024 20:30,12.05,11.62
16,5/9/2024 20:45,11.89,11.52
17,5/9/2024 21:00,11.78,11.52
18,5/9/2024 21:15,11.36,11.48
19,5/9/2024 21:30,11.49,11.42
20,5/9/2024 21:45,11.55,11.42
21,5/9/2024 22:00,11.55,11.42
22,5/9/2024 22:15,11.62,11.42
23,5/9/2024 22:30,11.61,11.42
24,5/9/2024 22:45,11.59,11.44
25,5/9/2024 23:00,11.6,11.42
26,5/9/2024 23:15,11.63,11.44
27,5/9/2024 23:30,11.81,11.46
28,5/9/2024 23:45,11.77,11.48
29,5/10/2024 0:00,11.77,11.48
30,5/10/2024 0:15,11.72,11.46
31,5/10/2024 0:30,11.73,11.46
32,5/10/2024 0:45,11.68,11.46
33,5/10/2024 1:00,11.66,11.46
34,5/10/2024 1:15,11.56,11.46
35,5/10/2024 1:30,11.49,11.46
36,5/10/2024 1:45,11.43,11.46
37,5/10/2024 2:00,11.37,11.48
38,5/10/2024 2:15,12.07,11.62
39,5/10/2024 2:30,11.53,11.66
40,5/10/2024 2:45,11.8,11.7
41,5/10/2024 3:00,11.96,11.84
42,5/10/2024 3:15,10.79,11.66
43,5/10/2024 3:30,10.87,11.48
44,5/10/2024 3:45,11.16,11.42
45,5/10/2024 4:00,11.03,11.42
46,5/10/2024 4:15,10.95,11.42
47,5/10/2024 4:30,11.01,11.42
48,5/10/2024 4:45,11.16,11.4
49,5/10/2024 5:00,11.03,11.4
50,5/10/2024 5:15,11.25,11.38
51,5/10/2024 5:30,11.08,11.36
52,5/10/2024 5:45,10.93,11.32
53,5/10/2024 6:00,10.87,11.32
54,5/10/2024 6:15,11.01,11.34
55,5/10/2024 6:30,10.76,11.4
56,5/10/2024 6:45,11.11,11.42
57,5/10/2024 7:00,11.19,11.4
58,5/10/2024 7:15,11.1,11.36
59,5/10/2024 7:30,11.17,11.34
60,5/10/2024 7:45,11.27,11.34
61,5/10/2024 8:00,11.41,11.34
62,5/10/2024 8:15,11.45,11.36
63,5/10/2024 8:30,11.49,11.36
64,5/10/2024 8:45,11.54,11.4
65,5/10/2024 9:00,11.52,11.42
66,5/10/2024 9:15,11.76,11.54
67,5/10/2024 9:30,12,11.68
68,5/10/2024 9:45,12.27,11.86
69,5/10/2024 10:00,12.47,11.92
70,5/10/2024 10:15,12.69,12
71,5/10/2024 10:30,12.6,12.02
72,5/10/2024 10:45,12.45,12.06
73,5/10/2024 11:00,12.53,12.14
74,5/10/2024 11:15,12.7,12.32
75,5/10/2024 11:30,12.83,12.62
76,5/10/2024 11:45,13.86,13.16
77,5/10/2024 12:00,13.56,14
78,5/10/2024 12:15,10.18,15.94
79,5/10/2024 12:30,9.87,19
80,5/10/2024 12:45,9.3,21.88
81,5/10/2024 13:00,9.04,23.74
82,5/10/2024 13:15,8.73,25.18
83,5/10/2024 13:30,8.45,26.26
84,5/10/2024 13:45,8.31,27.18
85,5/10/2024 14:00,8.33,27.86
86,5/10/2024 14:15,8.27,28.72
87,5/10/2024 14:30,8.12,29.56
88,5/10/2024 14:45,8.18,29.98
89,5/10/2024 15:00,7.92,30.88
90,5/10/2024 15:15,7.83,31.92
91,5/10/2024 15:30,7.77,32.38
92,5/10/2024 15:45,7.67,32.38
93,5/10/2024 16:00,10.04,27.56
94,5/10/2024 16:15,13.03,17.16
95,5/10/2024 16:30,13.46,14.34
96,5/10/2024 16:45,13.86,13.24
97,5/10/2024 17:00,15.19,14.08
98,5/10/2024 17:15,14.66,14.78
99,5/10/2024 17:30,15.82,14.4
100,5/10/2024 17:45,16.07,14.24
101,5/10/2024 18:00,15.91,14.38
102,5/10/2024 18:15,14.84,13.64
103,5/10/2024 18:30,14.56,13.02
104,5/10/2024 18:45,14.18,12.9
105,5/10/2024 19:00,13.84,12.62
106,5/10/2024 19:15,13.49,12.48
107,5/10/2024 19:30,13.24,12.34
108,5/10/2024 19:45,12.92,12.2
109,5/10/2024 20:00,12.74,12.1
110,5/10/2024 20:15,12.3,11.96
111,5/10/2024 20:30,11.84,11.9
112,5/10/2024 20:45,12.23,12.02
113,5/10/2024 21:00,12.29,11.98
114,5/10/2024 21:15,12.27,11.92
115,5/10/2024 21:30,12.2,11.88
116,5/10/2024 21:45,11.98,11.84
117,5/10/2024 22:00,11.8,11.8
118,5/10/2024 22:15,11.62,11.72
119,5/10/2024 22:30,11.56,11.68
120,5/10/2024 22:45,11.58,11.66
121,5/10/2024 23:00,11.52,11.66
122,5/10/2024 23:15,11.55,11.68
123,5/10/2024 23:30,11.58,11.68
124,5/10/2024 23:45,11.66,11.68
125,5/11/2024 0:00,11.7,11.7
126,5/11/2024 0:15,11.68,11.7
127,5/11/2024 0:30,11.67,11.72
128,5/11/2024 0:45,11.6,11.74
129,5/11/2024 1:00,11.69,11.76
130,5/11/2024 1:15,11.73,11.76
131,5/11/2024 1:30,11.81,11.76
132,5/11/2024 1:45,11.79,11.76
133,5/11/2024 2:00,11.77,11.76
134,5/11/2024 2:15,11.64,11.76
135,5/11/2024 2:30,11.66,11.76
136,5/11/2024 2:45,11.58,11.76
137,5/11/2024 3:00,11.64,11.9
138,5/11/2024 3:15,11.55,11.9
139,5/11/2024 3:30,12,12.04
140,5/11/2024 3:45,12.04,12.16
141,5/11/2024 4:00,11.93,12.22
142,5/11/2024 4:15,10.82,12.04
143,5/11/2024 4:30,10.99,11.74
144,5/11/2024 4:45,11.07,11.66
145,5/11/2024 5:00,11.13,11.66
146,5/11/2024 5:15,11.13,11.66
147,5/11/2024 5:30,10.89,11.62
148,5/11/2024 5:45,10.83,11.58
149,5/11/2024 6:00,10.75,11.56
150,5/11/2024 6:15,10.59,11.58
151,5/11/2024 6:30,10.61,11.6
152,5/11/2024 6:45,10.74,11.6
153,5/11/2024 7:00,10.79,11.62
154,5/11/2024 7:15,10.98,11.62
155,5/11/2024 7:30,11.07,11.62
