Plot Title: Chel_DO_Sep24_Deploy,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,9/16/2024 13:00,11.03,17.38
2,9/16/2024 13:15,11.55,17.14
3,9/16/2024 13:30,9.07,16.46
4,9/16/2024 13:45,8.26,15.96
5,9/16/2024 14:00,6.91,15.98
6,9/16/2024 14:15,6.6,16.06
7,9/16/2024 14:30,5.87,16.18
8,9/16/2024 14:45,5.6,15.8
9,9/16/2024 15:00,5.19,15.78
10,9/16/2024 15:15,7.16,16.14
11,9/16/2024 15:30,8.74,16.4
12,9/16/2024 15:45,9.31,16.3
13,9/16/2024 16:00,9.97,16.08
14,9/16/2024 16:15,8.67,15.84
15,9/16/2024 16:30,8.4,15.52
16,9/16/2024 16:45,8.01,15.4
17,9/16/2024 17:00,7.54,15.38
18,9/16/2024 17:15,6.21,15.38
19,9/16/2024 17:30,5.65,15.34
20,9/16/2024 17:45,7.29,15.36
21,9/16/2024 18:00,7.68,15.38
22,9/16/2024 18:15,7.54,15.36
23,9/16/2024 18:30,8.29,15.3
24,9/16/2024 18:45,8.18,15.28
25,9/16/2024 19:00,8.3,15.28
26,9/16/2024 19:15,8.05,15.28
27,9/16/2024 19:30,8.45,15.26
28,9/16/2024 19:45,8.42,15.26
29,9/16/2024 20:00,8.87,15.28
30,9/16/2024 20:15,9.1,15.28
31,9/16/2024 20:30,9.1,15.3
32,9/16/2024 20:45,8.91,15.3
33,9/16/2024 21:00,8.9,15.3
34,9/16/2024 21:15,7.73,15.3
35,9/16/2024 21:30,6.01,15.3
36,9/16/2024 21:45,6.01,15.28
37,9/16/2024 22:00,6.6,15.28
38,9/16/2024 22:15,6.34,15.26
39,9/16/2024 22:30,6.97,15.24
40,9/16/2024 22:45,5.62,15.22
41,9/16/2024 23:00,4.26,15.22
42,9/16/2024 23:15,5.81,15.2
43,9/16/2024 23:30,2.89,15.2
44,9/16/2024 23:45,2.45,15.18
45,9/17/2024 0:00,3.79,15.2
46,9/17/2024 0:15,4.11,15.24
47,9/17/2024 0:30,3.99,15.22
48,9/17/2024 0:45,4.23,15.22
49,9/17/2024 1:00,5.74,15.78
50,9/17/2024 1:15,6.5,15.76
51,9/17/2024 1:30,6.45,15.76
52,9/17/2024 1:45,7.29,15.76
53,9/17/2024 2:00,6.48,15.52
54,9/17/2024 2:15,6.3,15.42
55,9/17/2024 2:30,4.26,15.38
56,9/17/2024 2:45,6.55,15.32
57,9/17/2024 3:00,6.35,15.24
58,9/17/2024 3:15,7.63,15.18
59,9/17/2024 3:30,5.9,15.18
60,9/17/2024 3:45,4.01,15.18
61,9/17/2024 4:00,3.39,15.18
62,9/17/2024 4:15,2.99,15.18
63,9/17/2024 4:30,3.66,15.18
64,9/17/2024 4:45,6.89,15.2
65,9/17/2024 5:00,7.29,15.22
66,9/17/2024 5:15,6.4,15.2
67,9/17/2024 5:30,7.51,15.18
68,9/17/2024 5:45,7.5,15.18
69,9/17/2024 6:00,7.62,15.16
70,9/17/2024 6:15,7.77,15.14
71,9/17/2024 6:30,7.97,15.12
72,9/17/2024 6:45,8.25,15.12
73,9/17/2024 7:00,8.43,15.14
74,9/17/2024 7:15,7.49,15.16
75,9/17/2024 7:30,8.43,15.16
76,9/17/2024 7:45,8.36,15.16
77,9/17/2024 8:00,8.37,15.14
78,9/17/2024 8:15,8.42,15.14
79,9/17/2024 8:30,7.75,15.14
80,9/17/2024 8:45,7.54,15.14
81,9/17/2024 9:00,6.81,15.2
82,9/17/2024 9:15,6.63,15.2
83,9/17/2024 9:30,6.42,15.24
84,9/17/2024 9:45,5.81,15.26
85,9/17/2024 10:00,6.5,15.26
86,9/17/2024 10:15,7.95,15.36
87,9/17/2024 10:30,9.99,15.56
88,9/17/2024 10:45,10.3,14.1
89,9/17/2024 11:00,10.39,13.84
90,9/17/2024 11:15,10.41,13.86
91,9/17/2024 11:30,10.36,13.98
92,9/17/2024 11:45,10.4,14.14
93,9/17/2024 12:00,10.26,14.6
94,9/17/2024 12:15,10.22,14.8
95,9/17/2024 12:30,10.19,14.84
96,9/17/2024 12:45,10.25,14.82
97,9/17/2024 13:00,10.21,15.08
98,9/17/2024 13:15,7.26,15.9
99,9/17/2024 13:30,9.04,15.68
100,9/17/2024 13:45,7.68,15.62
101,9/17/2024 14:00,6.6,15.58
102,9/17/2024 14:15,6.22,15.62
103,9/17/2024 14:30,7.87,15.64
104,9/17/2024 14:45,9.19,15.66
105,9/17/2024 15:00,7.63,15.7
106,9/17/2024 15:15,7.23,15.66
107,9/17/2024 15:30,5.64,15.58
108,9/17/2024 15:45,5.83,15.48
109,9/17/2024 16:00,5.92,15.5
110,9/17/2024 16:15,5.56,15.5
111,9/17/2024 16:30,4.71,15.48
112,9/17/2024 16:45,5.38,15.5
113,9/17/2024 17:00,5.18,15.52
114,9/17/2024 17:15,5.19,15.6
115,9/17/2024 17:30,5.74,15.54
116,9/17/2024 17:45,4.84,15.48
117,9/17/2024 18:00,4.81,15.46
118,9/17/2024 18:15,4.69,15.42
119,9/17/2024 18:30,4.34,15.32
120,9/17/2024 18:45,4.94,15.26
121,9/17/2024 19:00,5,15.2
122,9/17/2024 19:15,8.42,15.36
123,9/17/2024 19:30,9.1,15.32
124,9/17/2024 19:45,8.68,15.26
125,9/17/2024 20:00,8.08,15.26
126,9/17/2024 20:15,8.28,15.24
127,9/17/2024 20:30,8.88,15.26
128,9/17/2024 20:45,8.9,15.28
129,9/17/2024 21:00,8.91,15.32
130,9/17/2024 21:15,8.46,15.32
131,9/17/2024 21:30,8.73,15.32
132,9/17/2024 21:45,8.72,15.32
133,9/17/2024 22:00,9.12,15.34
134,9/17/2024 22:15,9.23,15.38
135,9/17/2024 22:30,9.4,15.38
136,9/17/2024 22:45,9.42,15.4
137,9/17/2024 23:00,9.34,15.42
138,9/17/2024 23:15,9.12,15.4
139,9/17/2024 23:30,8.33,15.4
140,9/17/2024 23:45,6.75,15.38
141,9/18/2024 0:00,5.96,15.38
142,9/18/2024 0:15,5.55,15.4
143,9/18/2024 0:30,5.78,15.38
144,9/18/2024 0:45,6.64,15.36
145,9/18/2024 1:00,6.07,15.34
146,9/18/2024 1:15,7.28,15.32
147,9/18/2024 1:30,6.72,15.3
148,9/18/2024 1:45,6.89,15.28
