Plot Title: Chel_DO_2,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,10/19/2023 10:00,7.11,14.26
2,10/19/2023 10:15,7.12,14.26
3,10/19/2023 10:30,7.16,14.26
4,10/19/2023 10:45,7.15,14.26
5,10/19/2023 11:00,7.23,14.28
6,10/19/2023 11:15,7.31,14.3
7,10/19/2023 11:30,7.42,14.3
8,10/19/2023 11:45,7.46,14.3
9,10/19/2023 12:00,7.47,14.3
10,10/19/2023 12:15,7.49,14.3
11,10/19/2023 12:30,7.51,14.3
12,10/19/2023 12:45,7.47,14.32
13,10/19/2023 13:00,7.8,14.38
14,10/19/2023 13:15,7.94,14.42
15,10/19/2023 13:30,7.98,14.42
16,10/19/2023 13:45,7.76,14.38
17,10/19/2023 14:00,7.75,14.4
18,10/19/2023 14:15,7.82,14.4
19,10/19/2023 14:30,7.87,14.44
20,10/19/2023 14:45,7.82,14.54
21,10/19/2023 15:00,8.07,14.62
22,10/19/2023 15:15,7.31,14.5
23,10/19/2023 15:30,7.46,14.38
24,10/19/2023 15:45,7.09,14.32
25,10/19/2023 16:00,6.88,14.26
26,10/19/2023 16:15,6.83,14.24
27,10/19/2023 16:30,6.84,14.24
28,10/19/2023 16:45,6.86,14.24
29,10/19/2023 17:00,6.83,14.22
30,10/19/2023 17:15,6.81,14.18
31,10/19/2023 17:30,6.82,14.18
32,10/19/2023 17:45,6.82,14.16
33,10/19/2023 18:00,6.7,14.16
34,10/19/2023 18:15,6.58,14.16
35,10/19/2023 18:30,6.63,14.16
36,10/19/2023 18:45,6.65,14.16
37,10/19/2023 19:00,6.59,14.16
38,10/19/2023 19:15,6.47,14.16
39,10/19/2023 19:30,6.48,14.16
40,10/19/2023 19:45,6.68,14.18
41,10/19/2023 20:00,6.72,14.16
42,10/19/2023 20:15,6.65,14.18
43,10/19/2023 20:30,6.61,14.2
44,10/19/2023 20:45,6.61,14.2
45,10/19/2023 21:00,6.64,14.18
46,10/19/2023 21:15,6.76,14.16
47,10/19/2023 21:30,6.68,14.14
48,10/19/2023 21:45,6.72,14.14
49,10/19/2023 22:00,6.71,14.14
50,10/19/2023 22:15,6.71,14.14
51,10/19/2023 22:30,6.71,14.14
52,10/19/2023 22:45,6.73,14.14
53,10/19/2023 23:00,6.74,14.14
54,10/19/2023 23:15,6.71,14.14
55,10/19/2023 23:30,6.71,14.14
56,10/19/2023 23:45,6.71,14.16
57,10/20/2023 0:00,6.84,14.18
58,10/20/2023 0:15,7.04,14.32
59,10/20/2023 0:30,7.14,14.34
60,10/20/2023 0:45,7.27,14.4
61,10/20/2023 1:00,7.25,14.42
62,10/20/2023 1:15,7.15,14.42
63,10/20/2023 1:30,7,14.4
64,10/20/2023 1:45,6.61,14.38
65,10/20/2023 2:00,6.1,14.34
66,10/20/2023 2:15,5.82,14.4
67,10/20/2023 2:30,9.26,14.68
68,10/20/2023 2:45,9.24,14.76
69,10/20/2023 3:00,9.25,14.76
70,10/20/2023 3:15,9.24,14.78
71,10/20/2023 3:30,9.23,14.82
