"Date Time, GMT-07:00",DO_mgL,Temp_C
5/10/2023 17:09,8.06,30.48
5/10/2023 17:10,,
5/10/2023 17:24,8.22,28.36
5/10/2023 17:39,9.4,26.68
5/10/2023 17:54,12.74,18.28
5/10/2023 18:09,12.76,16.68
5/10/2023 18:24,12.89,15.62
5/10/2023 18:39,13.23,15.08
5/10/2023 18:54,13.22,15.16
5/10/2023 19:09,12.97,15.12
5/10/2023 19:24,12.86,14.28
5/10/2023 19:39,13.14,13.66
5/10/2023 19:54,12.96,13.74
5/10/2023 20:09,13.27,14.48
5/10/2023 20:24,12.49,13.5
5/10/2023 20:39,12.6,12.48
5/10/2023 20:54,12.81,12.52
5/10/2023 21:09,11.94,11.98
5/10/2023 21:24,12.27,11.62
5/10/2023 21:39,12.33,11.62
5/10/2023 21:54,12.37,11.56
5/10/2023 22:09,12.34,11.44
5/10/2023 22:24,12.32,11.4
5/10/2023 22:39,12.01,11.32
5/10/2023 22:54,11.69,10.96
5/10/2023 23:09,11.47,10.84
5/10/2023 23:24,11.51,10.8
5/10/2023 23:39,11.45,10.78
5/10/2023 23:54,11.5,10.7
5/11/2023 0:09,11.63,10.68
5/11/2023 0:24,11.59,10.64
5/11/2023 0:39,11.63,10.64
5/11/2023 0:54,11.64,10.62
5/11/2023 1:09,11.58,10.62
5/11/2023 1:24,11.63,10.62
5/11/2023 1:39,11.68,10.6
5/11/2023 1:54,11.65,10.6
5/11/2023 2:09,11.65,10.62
5/11/2023 2:24,11.55,10.6
5/11/2023 2:39,11.63,10.6
5/11/2023 2:54,11.64,10.6
5/11/2023 3:09,11.59,10.62
5/11/2023 3:24,11.56,10.64
5/11/2023 3:39,11.58,10.64
5/11/2023 3:54,11.59,10.64
5/11/2023 4:09,11.56,10.64
5/11/2023 4:24,11.47,10.64
5/11/2023 4:39,11.46,10.66
5/11/2023 4:54,11.59,10.64
5/11/2023 5:09,11.68,10.64
5/11/2023 5:24,12.11,11.16
5/11/2023 5:39,12.05,11.42
5/11/2023 5:54,12.3,11.8
5/11/2023 6:09,12.38,12.06
5/11/2023 6:24,12.35,12.2
5/11/2023 6:39,11.66,12.14
5/11/2023 6:54,12.36,12.06
5/11/2023 7:09,12.06,12.08
5/11/2023 7:24,11.05,11.26
5/11/2023 7:39,10.9,10.9
5/11/2023 7:54,11.12,11.04
5/11/2023 8:09,11.21,10.78
5/11/2023 8:24,11.37,10.66
5/11/2023 8:39,11.32,10.64
5/11/2023 8:54,11.3,10.64
5/11/2023 9:09,11.49,10.64
5/11/2023 9:24,11.75,10.72
5/11/2023 9:39,11.8,10.74
5/11/2023 9:54,11.93,10.84
5/11/2023 10:09,12.82,12.14
5/11/2023 10:24,12.72,12.68
5/11/2023 10:39,12.75,12.82
5/11/2023 10:54,13,12.9
5/11/2023 11:09,13.12,13.04
5/11/2023 11:24,13.27,13.16
5/11/2023 11:39,13.38,13.3
5/11/2023 11:54,13.51,13.4
5/11/2023 12:09,13.62,13.46
5/11/2023 12:24,13.71,13.64
5/11/2023 12:39,13.66,13.86
5/11/2023 12:54,13.66,13.78
5/11/2023 13:09,13.25,13.52
5/11/2023 13:24,12.97,13.36
5/11/2023 13:39,12.73,12.68
5/11/2023 13:54,12.89,12.66
5/11/2023 14:09,14.18,14.54
5/11/2023 14:24,12.2,16.74
5/11/2023 14:39,12.22,17.74
5/11/2023 14:54,11.82,18.64
5/11/2023 15:09,11.94,19.22
5/11/2023 15:24,9.37,20.48
5/11/2023 15:39,9.16,22.2
