"Plot Title: Chelsea Farm "
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21429555, SEN S/N: 21429555)","Temp, °C (LGR S/N: 21429555, SEN S/N: 21429555)"
1,04/09/23 02:22:36 PM,8.60,21.90
2,04/09/23 02:37:36 PM,8.66,22.78
3,04/09/23 02:52:36 PM,8.79,22.58
4,04/09/23 03:07:36 PM,8.86,22.54
5,04/09/23 03:22:36 PM,8.90,22.86
6,04/09/23 03:37:36 PM,8.85,23.10
7,04/09/23 03:52:36 PM,8.81,23.28
8,04/09/23 04:07:36 PM,8.80,23.40
9,04/09/23 04:22:36 PM,8.81,23.46
10,04/09/23 04:37:36 PM,8.85,22.98
11,04/09/23 04:52:36 PM,8.83,22.12
12,04/09/23 05:07:36 PM,8.23,19.48
13,04/09/23 05:22:36 PM,11.47,10.06
14,04/09/23 05:37:36 PM,11.71,9.36
15,04/09/23 05:52:36 PM,11.84,9.28
16,04/09/23 06:07:36 PM,11.46,9.02
17,04/09/23 06:22:36 PM,11.38,9.02
18,04/09/23 06:37:36 PM,11.40,8.86
19,04/09/23 06:52:36 PM,11.30,9.08
20,04/09/23 07:07:36 PM,11.39,8.90
21,04/09/23 07:22:36 PM,11.39,9.16
22,04/09/23 07:37:36 PM,11.41,9.00
23,04/09/23 07:52:36 PM,11.40,9.14
24,04/09/23 08:07:36 PM,11.40,9.02
25,04/09/23 08:22:36 PM,11.40,9.06
26,04/09/23 08:37:36 PM,11.19,9.06
27,04/09/23 08:52:36 PM,11.23,9.02
28,04/09/23 09:07:36 PM,11.24,9.08
29,04/09/23 09:22:36 PM,11.45,9.06
30,04/09/23 09:37:36 PM,11.37,9.10
31,04/09/23 09:52:36 PM,11.33,9.10
32,04/09/23 10:07:36 PM,11.46,9.14
33,04/09/23 10:22:36 PM,11.13,9.16
34,04/09/23 10:37:36 PM,11.72,9.34
35,04/09/23 10:52:36 PM,11.70,9.30
36,04/09/23 11:07:36 PM,11.68,9.26
37,04/09/23 11:22:36 PM,11.65,9.26
38,04/09/23 11:37:36 PM,11.65,9.26
39,04/09/23 11:52:36 PM,11.60,9.28
40,04/10/23 12:07:36 AM,11.66,9.24
41,04/10/23 12:22:36 AM,11.68,9.26
42,04/10/23 12:37:36 AM,11.63,9.24
43,04/10/23 12:52:36 AM,11.40,9.24
44,04/10/23 01:07:36 AM,11.31,9.24
45,04/10/23 01:22:36 AM,11.51,9.22
46,04/10/23 01:37:36 AM,11.50,9.24
47,04/10/23 01:52:36 AM,11.46,9.22
48,04/10/23 02:07:36 AM,11.46,9.22
49,04/10/23 02:22:36 AM,11.53,9.20
50,04/10/23 02:37:36 AM,11.57,9.22
51,04/10/23 02:52:36 AM,11.47,9.20
52,04/10/23 03:07:36 AM,11.54,9.18
53,04/10/23 03:22:36 AM,11.57,9.20
54,04/10/23 03:37:36 AM,11.54,9.18
55,04/10/23 03:52:36 AM,11.46,9.16
56,04/10/23 04:07:36 AM,11.47,9.16
57,04/10/23 04:22:36 AM,11.62,9.18
58,04/10/23 04:37:36 AM,11.57,9.16
59,04/10/23 04:52:36 AM,11.52,9.18
60,04/10/23 05:07:36 AM,11.36,9.16
61,04/10/23 05:22:36 AM,11.54,9.14
62,04/10/23 05:37:36 AM,11.15,9.14
63,04/10/23 05:52:36 AM,11.39,9.12
64,04/10/23 06:07:36 AM,11.06,9.12
65,04/10/23 06:22:36 AM,11.39,9.10
66,04/10/23 06:37:36 AM,11.20,9.12
67,04/10/23 06:52:36 AM,11.44,9.08
68,04/10/23 07:07:36 AM,11.17,9.10
69,04/10/23 07:22:36 AM,11.28,9.08
70,04/10/23 07:37:36 AM,11.27,9.10
71,04/10/23 07:52:36 AM,11.11,9.12
72,04/10/23 08:07:36 AM,11.27,9.12
73,04/10/23 08:22:36 AM,11.31,9.14
74,04/10/23 08:37:36 AM,11.30,9.16
75,04/10/23 08:52:36 AM,11.36,9.18
76,04/10/23 09:07:36 AM,11.40,9.18
77,04/10/23 09:22:36 AM,11.33,9.18
78,04/10/23 09:37:36 AM,11.33,9.18
79,04/10/23 09:52:36 AM,11.30,9.18
80,04/10/23 10:07:36 AM,11.30,9.16
81,04/10/23 10:22:36 AM,11.29,9.14
