"Date Time, GMT-07:00",DO_mgL,Temp_C
8/1/2023 13:56,7.64,30.94
8/1/2023 14:11,14.52,26.86
8/1/2023 14:26,15.99,20.96
8/1/2023 14:41,16.37,18.36
8/1/2023 14:56,16.48,17.56
8/1/2023 15:11,16.36,17.5
8/1/2023 15:26,16.45,17.7
8/1/2023 15:41,16.68,17.84
8/1/2023 15:56,17,17.78
8/1/2023 16:11,17.03,17.8
8/1/2023 16:26,17.2,17.02
8/1/2023 16:41,17.02,17.12
8/1/2023 16:56,16.96,17.18
8/1/2023 17:11,16.98,16.82
8/1/2023 17:26,16.73,16.38
8/1/2023 17:41,16.21,16.14
8/1/2023 17:56,15.58,16.02
8/1/2023 18:11,14.16,15.94
8/1/2023 18:26,13.84,15.94
8/1/2023 18:41,13.84,15.92
8/1/2023 18:56,13.23,15.78
8/1/2023 19:11,13.11,15.7
8/1/2023 19:26,12.61,15.72
8/1/2023 19:41,12.94,15.8
8/1/2023 19:56,12.68,15.82
8/1/2023 20:11,12.51,15.8
8/1/2023 20:26,12.27,15.78
8/1/2023 20:41,12.05,15.74
8/1/2023 20:56,11.89,15.7
8/1/2023 21:11,11.88,15.7
8/1/2023 21:26,11.82,15.72
8/1/2023 21:41,11.83,15.72
8/1/2023 21:56,11.86,15.7
8/1/2023 22:11,11.88,15.72
8/1/2023 22:26,11.84,15.74
8/1/2023 22:41,11.88,15.74
8/1/2023 22:56,11.79,15.74
8/1/2023 23:11,11.69,15.74
8/1/2023 23:26,11.67,15.72
8/1/2023 23:41,11.59,15.72
8/1/2023 23:56,11.55,15.7
8/2/2023 0:11,10.94,15.7
8/2/2023 0:26,10.38,15.7
8/2/2023 0:41,10.4,15.7
8/2/2023 0:56,10.28,15.74
8/2/2023 1:11,10.26,15.74
8/2/2023 1:26,10.43,15.7
8/2/2023 1:41,10.43,15.72
8/2/2023 1:56,10.06,15.84
8/2/2023 2:11,9.49,15.8
8/2/2023 2:26,10.94,16.06
8/2/2023 2:41,11.25,16.18
8/2/2023 2:56,10.12,15.92
8/2/2023 3:11,10.21,15.74
8/2/2023 3:26,10.15,15.62
8/2/2023 3:41,10.11,15.56
8/2/2023 3:56,9.96,15.54
8/2/2023 4:11,9.52,15.5
8/2/2023 4:26,9.48,15.54
8/2/2023 4:41,10,15.64
8/2/2023 4:56,10.28,15.78
8/2/2023 5:11,10.24,15.78
8/2/2023 5:26,10.2,15.74
8/2/2023 5:41,10.49,15.66
8/2/2023 5:56,10.77,15.6
8/2/2023 6:11,10.8,15.56
8/2/2023 6:26,10.8,15.52
8/2/2023 6:41,10.81,15.48
8/2/2023 6:56,10.79,15.44
8/2/2023 7:11,10.78,15.44
8/2/2023 7:26,10.89,15.48
8/2/2023 7:41,11.17,15.56
8/2/2023 7:56,11.6,15.64
8/2/2023 8:11,11.78,15.76
8/2/2023 8:26,11.91,15.78
8/2/2023 8:41,12.03,15.84
8/2/2023 8:56,11.96,15.86
8/2/2023 9:11,11.81,15.86
8/2/2023 9:26,12.41,16.02
8/2/2023 9:41,12.98,16.24
8/2/2023 9:56,12.66,16.34
8/2/2023 10:11,12.96,16.5
8/2/2023 10:26,12.6,16.68
8/2/2023 10:41,12.66,17.22
8/2/2023 10:56,13.71,17.76
8/2/2023 11:11,8.73,21.64
8/2/2023 11:26,7.95,26.1
8/2/2023 11:41,7.68,27.7
8/2/2023 11:56,7.74,28.38
8/2/2023 12:11,7.43,30.22
8/2/2023 12:26,7.34,30.52
8/2/2023 12:41,7.39,30.8
8/2/2023 12:56,7.52,30.02
8/2/2023 13:11,7.64,29.78
8/2/2023 13:26,7.53,30.38
8/2/2023 13:41,7.6,31.04
8/2/2023 13:56,7.68,31.56
8/2/2023 14:11,7.51,31.78
8/2/2023 14:26,7.63,32.54
8/2/2023 14:41,7.65,33.9
8/2/2023 14:56,14.81,28.82
8/2/2023 15:11,15.66,21.38
8/2/2023 15:26,15.73,18.94
8/2/2023 15:41,15.55,18
8/2/2023 15:56,15.26,17.44
8/2/2023 16:11,15.66,17.26
8/2/2023 16:26,15.7,17.06
8/2/2023 16:41,15.54,16.96
8/2/2023 16:56,15.29,16.7
8/2/2023 17:11,14.87,16.44
8/2/2023 17:26,14.23,16.22
8/2/2023 17:41,13.63,16.08
8/2/2023 17:56,13.71,16.12
8/2/2023 18:11,13.94,16.36
8/2/2023 18:26,13.91,16.38
8/2/2023 18:41,12.59,16.1
8/2/2023 18:56,12.04,15.92
8/2/2023 19:11,11.88,15.88
8/2/2023 19:26,11.6,15.86
8/2/2023 19:41,11.51,15.86
8/2/2023 19:56,11.18,15.78
8/2/2023 20:11,12.27,15.9
8/2/2023 20:26,12.29,15.9
8/2/2023 20:41,12.05,15.82
8/2/2023 20:56,11.98,15.8
8/2/2023 21:11,11.8,15.74
8/2/2023 21:26,11.63,15.64
8/2/2023 21:41,11.5,15.58
8/2/2023 21:56,11.47,15.56
8/2/2023 22:11,11.45,15.58
8/2/2023 22:26,11.46,15.62
8/2/2023 22:41,11.46,15.62
8/2/2023 22:56,11.45,15.64
8/2/2023 23:11,11.53,15.66
8/2/2023 23:26,11.46,15.7
8/2/2023 23:41,11.55,15.7
8/2/2023 23:56,11.47,15.7
8/3/2023 0:11,11.41,15.7
8/3/2023 0:26,11.33,15.7
8/3/2023 0:41,11.21,15.7
8/3/2023 0:56,10.68,15.7
8/3/2023 1:11,11.37,15.78
8/3/2023 1:26,12.05,16.04
8/3/2023 1:41,12.41,16.1
8/3/2023 1:56,13.37,16.34
8/3/2023 2:11,13.81,16.96
8/3/2023 2:26,13.57,17.16
8/3/2023 2:41,12.43,17.16
8/3/2023 2:56,12.54,17.26
8/3/2023 3:11,12.66,17.26
8/3/2023 3:26,12.76,17.1
8/3/2023 3:41,11.8,16.82
8/3/2023 3:56,10.58,16.22
8/3/2023 4:11,10.17,15.84
8/3/2023 4:26,10.34,15.68
8/3/2023 4:41,10.27,15.48
8/3/2023 4:56,10.21,15.46
8/3/2023 5:11,10.12,15.48
8/3/2023 5:26,10.01,15.5
8/3/2023 5:41,9.4,15.5
8/3/2023 5:56,9.4,15.52
8/3/2023 6:11,10.34,15.54
8/3/2023 6:26,10.68,15.56
8/3/2023 6:41,10.86,15.52
8/3/2023 6:56,10.82,15.48
8/3/2023 7:11,10.85,15.48
8/3/2023 7:26,10.91,15.52
8/3/2023 7:41,10.9,15.54
8/3/2023 7:56,11.27,15.62
8/3/2023 8:11,11.52,15.68
8/3/2023 8:26,11.84,15.78
8/3/2023 8:41,12.28,15.86
8/3/2023 8:56,12.53,15.98
8/3/2023 9:11,12.67,16.1
8/3/2023 9:26,12.47,16.18
8/3/2023 9:41,12.75,16.38
8/3/2023 9:56,13.22,16.68
8/3/2023 10:11,13.21,16.84
8/3/2023 10:26,13.13,17.02
8/3/2023 10:41,13.05,17.14
8/3/2023 10:56,13.09,17.24
8/3/2023 11:11,13.34,17.36
8/3/2023 11:26,13.67,17.66
8/3/2023 11:41,13.61,18.16
8/3/2023 11:56,15.17,19.42
8/3/2023 12:11,8.38,24.18
8/3/2023 12:26,8.32,24.66
8/3/2023 12:41,8.25,27.06
8/3/2023 12:56,8.2,27.12
8/3/2023 13:11,8.06,27.06
8/3/2023 13:26,8.12,27.16
8/3/2023 13:41,8.07,27.64
8/3/2023 13:56,8.04,28.54
8/3/2023 14:11,7.75,30.68
8/3/2023 14:26,7.65,32.16
8/3/2023 14:41,7.57,32.14
8/3/2023 14:56,7.55,31.24
8/3/2023 15:11,7.56,31.6
8/3/2023 15:26,7.7,31.48
8/3/2023 15:41,15.38,23.3
8/3/2023 15:56,16.38,21.02
8/3/2023 16:11,15.59,19.64
8/3/2023 16:26,14.92,17.86
8/3/2023 16:41,15.35,17.36
8/3/2023 16:56,15.68,17.64
8/3/2023 17:11,15.53,17.54
8/3/2023 17:26,15.33,17.22
8/3/2023 17:41,15.27,17.28
8/3/2023 17:56,15.2,16.96
8/3/2023 18:11,15.16,17.22
8/3/2023 18:26,15.09,17.12
8/3/2023 18:41,14.63,16.62
8/3/2023 18:56,14.65,16.36
8/3/2023 19:11,13.96,16.26
8/3/2023 19:26,13.46,16.18
8/3/2023 19:41,13.24,16.14
8/3/2023 19:56,12.76,16
8/3/2023 20:11,12.17,15.86
8/3/2023 20:26,11.56,15.84
8/3/2023 20:41,11.38,15.84
8/3/2023 20:56,11.42,15.86
8/3/2023 21:11,12.35,15.98
8/3/2023 21:26,12.17,15.96
8/3/2023 21:41,11.88,15.9
8/3/2023 21:56,11.6,15.76
8/3/2023 22:11,11.49,15.7
8/3/2023 22:26,11.36,15.68
8/3/2023 22:41,11.42,15.66
8/3/2023 22:56,11.47,15.68
8/3/2023 23:11,11.47,15.7
8/3/2023 23:26,11.52,15.74
8/3/2023 23:41,11.54,15.76
8/3/2023 23:56,11.51,15.78
8/4/2023 0:11,11.45,15.8
8/4/2023 0:26,11.44,15.8
8/4/2023 0:41,11.43,15.8
8/4/2023 0:56,11.4,15.8
8/4/2023 1:11,11.29,15.82
8/4/2023 1:26,11.15,15.84
8/4/2023 1:41,10.87,15.82
8/4/2023 1:56,10.33,15.82
8/4/2023 2:11,9.78,15.82
8/4/2023 2:26,10.54,15.86
8/4/2023 2:41,12.21,16.42
8/4/2023 2:56,12.23,16.54
8/4/2023 3:11,12.07,16.54
