#,"Date Time, GMT-07:00",DO_mgL,Temp_C
5,6/20/2024 19:00,11.65,12.88
6,6/20/2024 19:15,12.16,12.48
7,6/20/2024 19:30,12.4,12.5
8,6/20/2024 19:45,12.35,12.54
9,6/20/2024 20:00,12.52,12.58
10,6/20/2024 20:15,13.18,12.74
11,6/20/2024 20:30,13.51,12.92
12,6/20/2024 20:45,13.23,12.8
13,6/20/2024 21:00,13.02,12.74
14,6/20/2024 21:15,13.1,12.72
15,6/20/2024 21:30,13.15,12.76
16,6/20/2024 21:45,13.28,12.82
17,6/20/2024 22:00,13.32,12.86
18,6/20/2024 22:15,13.28,12.86
19,6/20/2024 22:30,13.24,12.86
20,6/20/2024 22:45,13.16,12.88
21,6/20/2024 23:00,13.28,12.88
22,6/20/2024 23:15,13.3,12.86
23,6/20/2024 23:30,12.87,12.74
24,6/20/2024 23:45,13.09,12.82
25,6/21/2024 0:00,12.19,12.6
26,6/21/2024 0:15,11.3,12.18
27,6/21/2024 0:30,10.88,12.04
28,6/21/2024 0:45,10.65,11.9
29,6/21/2024 1:00,11.08,12.16
30,6/21/2024 1:15,11.93,12.46
31,6/21/2024 1:30,11.6,12.24
32,6/21/2024 1:45,12.51,12.54
33,6/21/2024 2:00,12.08,12.42
34,6/21/2024 2:15,11.9,12.36
35,6/21/2024 2:30,11.77,12.3
36,6/21/2024 2:45,11.73,12.26
37,6/21/2024 3:00,11.58,12.2
38,6/21/2024 3:15,11.37,12.16
39,6/21/2024 3:30,11.47,12.22
40,6/21/2024 3:45,11.57,12.22
41,6/21/2024 4:00,11.67,12.32
42,6/21/2024 4:15,12.17,12.44
43,6/21/2024 4:30,12.01,12.46
44,6/21/2024 4:45,12.31,12.56
45,6/21/2024 5:00,12.17,12.6
46,6/21/2024 5:15,12.32,12.62
47,6/21/2024 5:30,12.53,12.66
48,6/21/2024 5:45,12.34,12.62
49,6/21/2024 6:00,12.33,12.58
50,6/21/2024 6:15,12.62,12.64
51,6/21/2024 6:30,12.7,12.66
52,6/21/2024 6:45,13.01,12.84
53,6/21/2024 7:00,12.48,12.74
54,6/21/2024 7:15,12.54,12.64
55,6/21/2024 7:30,13.15,12.82
56,6/21/2024 7:45,13.08,12.8
57,6/21/2024 8:00,12.65,12.7
58,6/21/2024 8:15,12.28,12.64
59,6/21/2024 8:30,12.22,12.64
60,6/21/2024 8:45,12.28,12.64
61,6/21/2024 9:00,12.22,12.6
62,6/21/2024 9:15,13.06,12.78
63,6/21/2024 9:30,12.58,12.76
64,6/21/2024 9:45,13.35,12.82
65,6/21/2024 10:00,12.74,12.86
66,6/21/2024 10:15,13.25,12.98
67,6/21/2024 10:30,12.67,12.82
68,6/21/2024 10:45,12.67,12.78
69,6/21/2024 11:00,12.72,12.86
70,6/21/2024 11:15,12.87,12.98
71,6/21/2024 11:30,13.73,13.02
72,6/21/2024 11:45,14.08,13.16
73,6/21/2024 12:00,14.11,13.14
74,6/21/2024 12:15,14.04,13.16
75,6/21/2024 12:30,13.89,13.14
76,6/21/2024 12:45,13.97,13.18
77,6/21/2024 13:00,13.74,13.16
78,6/21/2024 13:15,13.87,13.08
79,6/21/2024 13:30,14.08,13.2
80,6/21/2024 13:45,14.14,13.4
81,6/21/2024 14:00,14.08,13.52
82,6/21/2024 14:15,12.45,12.94
83,6/21/2024 14:30,14.06,13.28
84,6/21/2024 14:45,13.46,13.02
85,6/21/2024 15:00,12.83,12.94
86,6/21/2024 15:15,12.57,12.74
87,6/21/2024 15:30,12.68,12.84
88,6/21/2024 15:45,12.71,12.94
89,6/21/2024 16:00,12.87,13
90,6/21/2024 16:15,12.74,12.76
91,6/21/2024 16:30,12.84,12.92
92,6/21/2024 16:45,13,12.94
93,6/21/2024 17:00,12.78,12.92
94,6/21/2024 17:15,12.74,12.86
95,6/21/2024 17:30,12.63,12.8
96,6/21/2024 17:45,12.49,12.76
97,6/21/2024 18:00,12.57,12.76
98,6/21/2024 18:15,12.63,12.74
99,6/21/2024 18:30,12.74,12.74
100,6/21/2024 18:45,12.78,12.8
101,6/21/2024 19:00,12.65,12.82
102,6/21/2024 19:15,13.04,12.84
103,6/21/2024 19:30,12.67,12.74
104,6/21/2024 19:45,11.78,12.34
105,6/21/2024 20:00,11.71,12.28
106,6/21/2024 20:15,11.59,12.24
107,6/21/2024 20:30,11.33,12.18
108,6/21/2024 20:45,11.3,12.18
109,6/21/2024 21:00,11.25,12.2
110,6/21/2024 21:15,11.11,12.2
111,6/21/2024 21:30,11.22,12.26
112,6/21/2024 21:45,11.23,12.32
113,6/21/2024 22:00,11.45,12.36
114,6/21/2024 22:15,11.33,12.3
115,6/21/2024 22:30,11.77,12.34
116,6/21/2024 22:45,11.5,12.38
117,6/21/2024 23:00,11.28,12.38
118,6/21/2024 23:15,11.32,12.4
119,6/21/2024 23:30,11.15,12.4
120,6/21/2024 23:45,10.94,12.42
121,6/22/2024 0:00,10.86,12.42
122,6/22/2024 0:15,10.8,12.4
123,6/22/2024 0:30,10.67,12.38
124,6/22/2024 0:45,10.58,12.36
125,6/22/2024 1:00,10.41,12.36
126,6/22/2024 1:15,10.54,12.34
127,6/22/2024 1:30,10.39,12.34
128,6/22/2024 1:45,10.24,12.3
129,6/22/2024 2:00,10.04,12.34
130,6/22/2024 2:15,9.98,12.32
131,6/22/2024 2:30,10.59,12.28
132,6/22/2024 2:45,11.18,12.3
133,6/22/2024 3:00,11.55,12.3
134,6/22/2024 3:15,11.65,12.34
135,6/22/2024 3:30,11.45,12.3
136,6/22/2024 3:45,11.41,12.26
137,6/22/2024 4:00,11.38,12.26
138,6/22/2024 4:15,10.51,12.14
139,6/22/2024 4:30,10.75,12.08
140,6/22/2024 4:45,10.78,12.08
141,6/22/2024 5:00,10.89,12.1
142,6/22/2024 5:15,11.59,12.3
143,6/22/2024 5:30,11.7,12.38
144,6/22/2024 5:45,11.69,12.4
145,6/22/2024 6:00,11.63,12.42
146,6/22/2024 6:15,11.59,12.44
147,6/22/2024 6:30,11.61,12.46
148,6/22/2024 6:45,11.73,12.5
149,6/22/2024 7:00,11.82,12.56
150,6/22/2024 7:15,11.75,12.56
151,6/22/2024 7:30,11.51,12.52
152,6/22/2024 7:45,11.53,12.5
153,6/22/2024 8:00,11.84,12.52
154,6/22/2024 8:15,11.51,12.48
155,6/22/2024 8:30,11.25,12.4
156,6/22/2024 8:45,11.08,12.4
157,6/22/2024 9:00,10.97,12.4
158,6/22/2024 9:15,11.57,12.48
159,6/22/2024 9:30,11.51,12.5
160,6/22/2024 9:45,11.6,12.5
161,6/22/2024 10:00,12.18,12.52
162,6/22/2024 10:15,11.93,12.6
163,6/22/2024 10:30,11.5,12.58
164,6/22/2024 10:45,11.33,12.52
165,6/22/2024 11:00,11.26,12.54
166,6/22/2024 11:15,11.39,12.6
167,6/22/2024 11:30,11.3,12.66
168,6/22/2024 11:45,9.56,12.58
169,6/22/2024 12:00,10.92,12.74
170,6/22/2024 12:15,11.94,13.04
171,6/22/2024 12:30,11.94,13.16
172,6/22/2024 12:45,11.21,13.14
173,6/22/2024 13:00,10.26,13.12
174,6/22/2024 13:15,12.53,13.1
175,6/22/2024 13:30,13.1,13.06
176,6/22/2024 13:45,13.32,13.16
177,6/22/2024 14:00,13.42,13.3
178,6/22/2024 14:15,13.79,13.44
179,6/22/2024 14:30,14.1,13.22
180,6/22/2024 14:45,13.22,13.08
181,6/22/2024 15:00,13.72,13.5
182,6/22/2024 15:15,12.9,13.9
183,6/22/2024 15:30,12.73,13.4
