Plot Title: Hood_DO_Aug_Deploy,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
57,8/15/2024 4:00,10.56,13
58,8/15/2024 4:15,10.55,13.02
59,8/15/2024 4:30,10.55,13
60,8/15/2024 4:45,10.56,13.02
61,8/15/2024 5:00,10.51,13.16
62,8/15/2024 5:15,10.49,13.24
63,8/15/2024 5:30,10.49,13.3
64,8/15/2024 5:45,10.46,13.32
65,8/15/2024 6:00,10.46,13.36
66,8/15/2024 6:15,10.47,13.38
67,8/15/2024 6:30,10.45,13.4
68,8/15/2024 6:45,10.44,13.46
69,8/15/2024 7:00,10.4,13.84
70,8/15/2024 7:15,10.35,14.06
71,8/15/2024 7:30,10.3,14.2
72,8/15/2024 7:45,10.26,15.58
73,8/15/2024 8:00,10.3,15.72
74,8/15/2024 8:15,10.36,15.82
75,8/15/2024 8:30,10.4,15.86
76,8/15/2024 8:45,10.03,15.64
77,8/15/2024 9:00,9.94,15.46
78,8/15/2024 9:15,9.89,15.38
79,8/15/2024 9:30,9.79,15.3
80,8/15/2024 9:45,9.78,15.26
81,8/15/2024 10:00,9.69,15.26
82,8/15/2024 10:15,9.9,15.36
83,8/15/2024 10:30,10.14,15.34
84,8/15/2024 10:45,10.1,15.36
85,8/15/2024 11:00,10.18,15.3
86,8/15/2024 11:15,10.06,15.02
87,8/15/2024 11:30,10.23,15.08
88,8/15/2024 11:45,10.07,15.24
89,8/15/2024 12:00,10.25,15.2
90,8/15/2024 12:15,10.17,15.22
91,8/15/2024 12:30,10.03,15.32
92,8/15/2024 12:45,10.25,15.42
93,8/15/2024 13:00,10.53,15.4
94,8/15/2024 13:15,10.37,15.34
95,8/15/2024 13:30,10.45,15.24
96,8/15/2024 13:45,10.39,15.38
97,8/15/2024 14:00,10.36,15.4
98,8/15/2024 14:15,10.25,15.5
99,8/15/2024 14:30,10.29,15.44
100,8/15/2024 14:45,10.35,15.52
101,8/15/2024 15:00,10.57,15.68
102,8/15/2024 15:15,10.47,15.78
103,8/15/2024 15:30,10.34,15.58
104,8/15/2024 15:45,10.4,15.74
105,8/15/2024 16:00,10.44,15.68
106,8/15/2024 16:15,10.26,15.46
107,8/15/2024 16:30,10.45,15.48
108,8/15/2024 16:45,9.98,15.4
109,8/15/2024 17:00,9.24,14.58
110,8/15/2024 17:15,9.45,14.62
111,8/15/2024 17:30,9.34,14.56
112,8/15/2024 17:45,8.94,14.24
113,8/15/2024 18:00,8.94,14.06
114,8/15/2024 18:15,8.92,14.04
115,8/15/2024 18:30,8.88,13.98
116,8/15/2024 18:45,8.95,13.96
117,8/15/2024 19:00,9.14,14.06
118,8/15/2024 19:15,9.16,14.16
119,8/15/2024 19:30,9.12,14.16
120,8/15/2024 19:45,9.35,14.26
121,8/15/2024 20:00,9.32,14.36
122,8/15/2024 20:15,9.16,14.26
123,8/15/2024 20:30,9.08,14.2
124,8/15/2024 20:45,9.13,14.12
125,8/15/2024 21:00,9.02,14.04
126,8/15/2024 21:15,9.04,13.98
127,8/15/2024 21:30,8.93,13.84
128,8/15/2024 21:45,8.84,13.76
129,8/15/2024 22:00,8.98,13.88
130,8/15/2024 22:15,9.08,14.1
131,8/15/2024 22:30,9.13,14.04
132,8/15/2024 22:45,9.15,14.14
133,8/15/2024 23:00,9.04,14.06
134,8/15/2024 23:15,9.12,14.14
135,8/15/2024 23:30,9.08,14.06
136,8/15/2024 23:45,9.11,14.06
137,8/16/2024 0:00,9.06,14.08
138,8/16/2024 0:15,9.11,14.14
139,8/16/2024 0:30,9.39,14.22
140,8/16/2024 0:45,9.6,14.38
141,8/16/2024 1:00,9.58,14.44
142,8/16/2024 1:15,9.6,14.46
143,8/16/2024 1:30,9.62,14.5
144,8/16/2024 1:45,9.58,14.5
145,8/16/2024 2:00,9.63,14.52
146,8/16/2024 2:15,9.68,14.56
147,8/16/2024 2:30,9.66,14.6
148,8/16/2024 2:45,9.72,14.58
149,8/16/2024 3:00,9.72,14.62
150,8/16/2024 3:15,9.75,14.66
151,8/16/2024 3:30,9.89,14.78
152,8/16/2024 3:45,9.88,14.82
153,8/16/2024 4:00,9.68,14.82
154,8/16/2024 4:15,9.74,14.74
155,8/16/2024 4:30,9.46,14.72
156,8/16/2024 4:45,9.59,14.7
157,8/16/2024 5:00,9.56,14.7
158,8/16/2024 5:15,9.58,14.66
159,8/16/2024 5:30,9.6,14.66
160,8/16/2024 5:45,9.57,14.66
161,8/16/2024 6:00,9.52,14.66
162,8/16/2024 6:15,9.44,14.62
163,8/16/2024 6:30,9,14.36
164,8/16/2024 6:45,8.97,14.36
165,8/16/2024 7:00,9.16,14.38
166,8/16/2024 7:15,9.07,14.54
167,8/16/2024 7:30,9.05,14.5
168,8/16/2024 7:45,9.05,14.64
169,8/16/2024 8:00,9.18,14.7
170,8/16/2024 8:15,9.19,14.78
171,8/16/2024 8:30,9.24,14.66
172,8/16/2024 8:45,9.24,14.78
173,8/16/2024 9:00,9.28,14.84
174,8/16/2024 9:15,9.31,14.88
175,8/16/2024 9:30,9.25,14.86
176,8/16/2024 9:45,9.44,14.94
177,8/16/2024 10:00,9.24,14.94
178,8/16/2024 10:15,9.17,14.98
179,8/16/2024 10:30,8.88,14.88
180,8/16/2024 10:45,8.95,14.92
181,8/16/2024 11:00,9.13,14.84
182,8/16/2024 11:15,9.14,14.82
183,8/16/2024 11:30,9.41,14.74
184,8/16/2024 11:45,9.43,14.8
185,8/16/2024 12:00,9.24,14.84
186,8/16/2024 12:15,9.14,14.72
187,8/16/2024 12:30,8.62,14.34
188,8/16/2024 12:45,9.02,14.3
189,8/16/2024 13:00,9.63,14.6
190,8/16/2024 13:15,9.24,14.64
191,8/16/2024 13:30,9.03,14.42
192,8/16/2024 13:45,9.17,14.48
193,8/16/2024 14:00,9.06,14.62
194,8/16/2024 14:15,9.08,14.6
195,8/16/2024 14:30,9.19,14.7
196,8/16/2024 14:45,9.43,14.52
197,8/16/2024 15:00,9.31,14.82
198,8/16/2024 15:15,8.82,14.54
199,8/16/2024 15:30,9.66,14.72
200,8/16/2024 15:45,9.46,14.84
201,8/16/2024 16:00,8.85,14.56
202,8/16/2024 16:15,9.31,14.42
203,8/16/2024 16:30,9.39,14.52
204,8/16/2024 16:45,9.41,14.66
205,8/16/2024 17:00,8.65,14.52
206,8/16/2024 17:15,8.71,14.2
207,8/16/2024 17:30,8.71,14.16
208,8/16/2024 17:45,8.67,14.28
209,8/16/2024 18:00,8.47,14.02
210,8/16/2024 18:15,8.64,13.92
211,8/16/2024 18:30,8.87,14.16
212,8/16/2024 18:45,8.71,14.12
213,8/16/2024 19:00,8.94,14.18
214,8/16/2024 19:15,8.96,14.28
215,8/16/2024 19:30,8.85,14.34
216,8/16/2024 19:45,8.82,14.26
217,8/16/2024 20:00,8.81,14.26
218,8/16/2024 20:15,8.78,14.2
219,8/16/2024 20:30,8.64,14.14
220,8/16/2024 20:45,8.81,14.12
221,8/16/2024 21:00,8.77,14.08
222,8/16/2024 21:15,8.81,14.06
223,8/16/2024 21:30,8.81,14.04
224,8/16/2024 21:45,8.82,14
225,8/16/2024 22:00,8.57,13.96
226,8/16/2024 22:15,8.8,13.94
227,8/16/2024 22:30,8.74,13.94
228,8/16/2024 22:45,8.68,13.92
229,8/16/2024 23:00,8.74,13.92
230,8/16/2024 23:15,8.66,13.88
231,8/16/2024 23:30,8.58,13.86
232,8/16/2024 23:45,8.62,13.82
233,8/17/2024 0:00,8.64,13.8
234,8/17/2024 0:15,8.64,13.78
235,8/17/2024 0:30,8.64,13.78
236,8/17/2024 0:45,8.67,13.76
237,8/17/2024 1:00,8.64,13.68
238,8/17/2024 1:15,8.88,13.8
239,8/17/2024 1:30,8.88,13.92
240,8/17/2024 1:45,8.88,13.94
241,8/17/2024 2:00,8.97,13.96
242,8/17/2024 2:15,9.09,14.02
243,8/17/2024 2:30,9.24,14.16
244,8/17/2024 2:45,9.22,14.2
245,8/17/2024 3:00,9.17,14.16
246,8/17/2024 3:15,9.43,14.26
247,8/17/2024 3:30,9.42,14.3
248,8/17/2024 3:45,9.47,14.32
249,8/17/2024 4:00,9.43,14.3
250,8/17/2024 4:15,9.08,14.18
251,8/17/2024 4:30,9.07,13.94
252,8/17/2024 4:45,9.01,13.9
253,8/17/2024 5:00,8.86,13.9
254,8/17/2024 5:15,8.56,13.84
255,8/17/2024 5:30,8.93,13.88
256,8/17/2024 5:45,8.95,13.86
257,8/17/2024 6:00,8.86,13.86
258,8/17/2024 6:15,8.72,13.86
259,8/17/2024 6:30,8.56,13.84
260,8/17/2024 6:45,8.68,13.84
261,8/17/2024 7:00,8.81,13.84
262,8/17/2024 7:15,8.72,13.86
263,8/17/2024 7:30,8.66,13.86
264,8/17/2024 7:45,8.5,13.82
265,8/17/2024 8:00,8.53,13.98
266,8/17/2024 8:15,8.45,13.94
267,8/17/2024 8:30,8.56,14.1
268,8/17/2024 8:45,8.58,14.22
269,8/17/2024 9:00,8.4,14.18
270,8/17/2024 9:15,8.45,14.06
271,8/17/2024 9:30,8.62,14.18
272,8/17/2024 9:45,8.8,14.42
273,8/17/2024 10:00,8.76,14.52
274,8/17/2024 10:15,8.9,14.64
275,8/17/2024 10:30,8.97,14.66
276,8/17/2024 10:45,8.93,14.7
277,8/17/2024 11:00,8.83,14.62
278,8/17/2024 11:15,8.74,14.52
279,8/17/2024 11:30,8.71,14.42
