#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,5/1/2024 19:00,15.08,11.3
2,5/1/2024 19:15,15.1,11.28
3,5/1/2024 19:30,14.35,11.18
4,5/1/2024 19:45,14.06,11.1
5,5/1/2024 20:00,13.98,11
6,5/1/2024 20:15,13.92,10.96
7,5/1/2024 20:30,13.55,10.98
8,5/1/2024 20:45,13.59,11
9,5/1/2024 21:00,13.69,10.98
10,5/1/2024 21:15,13.84,11
11,5/1/2024 21:30,13.57,11
12,5/1/2024 21:45,13.72,10.98
13,5/1/2024 22:00,13.66,11.02
14,5/1/2024 22:15,14.02,10.98
15,5/1/2024 22:30,14.59,11.04
16,5/1/2024 22:45,13.59,10.98
17,5/1/2024 23:00,13.3,10.82
18,5/1/2024 23:15,13.22,10.9
19,5/1/2024 23:30,13.85,10.94
20,5/1/2024 23:45,12.92,10.88
21,5/2/2024 0:00,13.38,10.88
22,5/2/2024 0:15,13.15,10.86
23,5/2/2024 0:30,13.64,10.86
24,5/2/2024 0:45,13.29,10.78
25,5/2/2024 1:00,12.21,10.68
26,5/2/2024 1:15,12.26,10.56
27,5/2/2024 1:30,12.88,10.68
28,5/2/2024 1:45,12.89,10.68
29,5/2/2024 2:00,12.51,10.6
30,5/2/2024 2:15,12.52,10.56
31,5/2/2024 2:30,12.23,10.52
32,5/2/2024 2:45,11.93,10.46
33,5/2/2024 3:00,12.01,10.46
34,5/2/2024 3:15,12.06,10.46
35,5/2/2024 3:30,12.04,10.48
36,5/2/2024 3:45,11.91,10.44
37,5/2/2024 4:00,11.73,10.42
38,5/2/2024 4:15,11.97,10.44
39,5/2/2024 4:30,12.03,10.44
40,5/2/2024 4:45,12.08,10.44
41,5/2/2024 5:00,12.1,10.44
42,5/2/2024 5:15,11.96,10.42
43,5/2/2024 5:30,12.03,10.4
44,5/2/2024 5:45,12.13,10.4
45,5/2/2024 6:00,12.03,10.38
46,5/2/2024 6:15,11.98,10.36
47,5/2/2024 6:30,11.52,10.3
48,5/2/2024 6:45,11.91,10.32
49,5/2/2024 7:00,12.17,10.34
50,5/2/2024 7:15,12.09,10.36
51,5/2/2024 7:30,12.09,10.38
52,5/2/2024 7:45,12.06,10.36
53,5/2/2024 8:00,12.11,10.38
54,5/2/2024 8:15,12.16,10.4
55,5/2/2024 8:30,12.32,10.42
56,5/2/2024 8:45,12.16,10.4
57,5/2/2024 9:00,12.2,10.42
58,5/2/2024 9:15,12.02,10.44
59,5/2/2024 9:30,12.11,10.46
60,5/2/2024 9:45,12.12,10.48
61,5/2/2024 10:00,12.18,10.5
62,5/2/2024 10:15,12.27,10.52
63,5/2/2024 10:30,12.32,10.54
64,5/2/2024 10:45,12.34,10.58
65,5/2/2024 11:00,12.33,10.6
66,5/2/2024 11:15,12.38,10.64
67,5/2/2024 11:30,12.38,10.66
68,5/2/2024 11:45,12.43,10.66
69,5/2/2024 12:00,12.49,10.68
70,5/2/2024 12:15,12.49,10.66
71,5/2/2024 12:30,12.59,10.68
72,5/2/2024 12:45,12.65,10.7
73,5/2/2024 13:00,12.74,10.72
74,5/2/2024 13:15,12.69,10.76
75,5/2/2024 13:30,12.8,10.78
76,5/2/2024 13:45,12.83,10.8
77,5/2/2024 14:00,13.15,10.96
78,5/2/2024 14:15,12.9,10.94
79,5/2/2024 14:30,12.96,11
80,5/2/2024 14:45,13.35,11.06
81,5/2/2024 15:00,13.42,11.1
82,5/2/2024 15:15,13.46,11.12
83,5/2/2024 15:30,13.5,11.16
84,5/2/2024 15:45,13.51,11.16
85,5/2/2024 16:00,13.57,11.18
86,5/2/2024 16:15,13.52,11.22
87,5/2/2024 16:30,13.44,11.22
88,5/2/2024 16:45,13.74,11.16
89,5/2/2024 17:00,13.62,11.2
90,5/2/2024 17:15,13.6,11.16
91,5/2/2024 17:30,13.65,11.08
92,5/2/2024 17:45,13.64,11.06
93,5/2/2024 18:00,13.66,11.06
94,5/2/2024 18:15,13.75,11.12
95,5/2/2024 18:30,13.79,11.16
96,5/2/2024 18:45,13.8,11.16
97,5/2/2024 19:00,13.73,11.12
98,5/2/2024 19:15,13.73,11.08
99,5/2/2024 19:30,13.56,11.04
100,5/2/2024 19:45,13.49,11.02
101,5/2/2024 20:00,13.47,10.98
102,5/2/2024 20:15,13.39,10.94
103,5/2/2024 20:30,13.47,10.96
104,5/2/2024 20:45,13.5,10.98
105,5/2/2024 21:00,13.16,10.94
106,5/2/2024 21:15,13.06,10.84
107,5/2/2024 21:30,13.05,10.78
108,5/2/2024 21:45,12.62,10.7
109,5/2/2024 22:00,12.18,10.58
110,5/2/2024 22:15,12.44,10.52
111,5/2/2024 22:30,11.58,10.44
112,5/2/2024 22:45,11.63,10.46
113,5/2/2024 23:00,11.89,10.54
114,5/2/2024 23:15,11.72,10.46
115,5/2/2024 23:30,11.9,10.48
116,5/2/2024 23:45,12.09,10.52
117,5/3/2024 0:00,12.1,10.48
118,5/3/2024 0:15,11.89,10.46
119,5/3/2024 0:30,11.79,10.44
120,5/3/2024 0:45,11.68,10.42
121,5/3/2024 1:00,11.8,10.4
122,5/3/2024 1:15,11.56,10.42
123,5/3/2024 1:30,11.39,10.38
124,5/3/2024 1:45,11.89,10.38
125,5/3/2024 2:00,11.45,10.36
126,5/3/2024 2:15,11.91,10.34
127,5/3/2024 2:30,12.02,10.44
128,5/3/2024 2:45,12.07,10.52
129,5/3/2024 3:00,12.08,10.5
130,5/3/2024 3:15,12.21,10.5
131,5/3/2024 3:30,12.14,10.54
132,5/3/2024 3:45,11.94,10.5
133,5/3/2024 4:00,11.98,10.46
134,5/3/2024 4:15,12.26,10.46
