#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,10/19/2023 22:00,6.9,11.86
2,10/19/2023 22:15,6.86,11.86
3,10/19/2023 22:30,6.91,11.9
4,10/19/2023 22:45,6.92,11.9
5,10/19/2023 23:00,6.94,11.88
6,10/19/2023 23:15,6.91,11.86
7,10/19/2023 23:30,6.99,11.88
8,10/19/2023 23:45,6.97,11.9
9,10/20/2023 0:00,7.01,11.94
10,10/20/2023 0:15,6.98,11.96
11,10/20/2023 0:30,7.06,11.94
12,10/20/2023 0:45,6.91,11.92
13,10/20/2023 1:00,6.92,11.9
14,10/20/2023 1:15,6.88,11.9
15,10/20/2023 1:30,6.95,11.92
16,10/20/2023 1:45,6.92,11.92
17,10/20/2023 2:00,6.91,11.92
18,10/20/2023 2:15,6.89,11.92
19,10/20/2023 2:30,6.94,11.9
20,10/20/2023 2:45,6.96,11.92
21,10/20/2023 3:00,6.91,11.84
22,10/20/2023 3:15,6.84,11.8
23,10/20/2023 3:30,6.94,11.76
24,10/20/2023 3:45,6.82,11.8
25,10/20/2023 4:00,6.81,11.82
26,10/20/2023 4:15,6.95,11.78
27,10/20/2023 4:30,6.91,11.76
28,10/20/2023 4:45,6.96,11.7
29,10/20/2023 5:00,6.96,11.74
30,10/20/2023 5:15,6.87,11.78
31,10/20/2023 5:30,6.67,11.82
32,10/20/2023 5:45,6.93,11.8
33,10/20/2023 6:00,6.75,11.78
34,10/20/2023 6:15,6.68,11.8
35,10/20/2023 6:30,6.8,11.8
36,10/20/2023 6:45,6.76,11.8
37,10/20/2023 7:00,6.73,11.76
38,10/20/2023 7:15,6.55,11.76
39,10/20/2023 7:30,6.6,11.76
40,10/20/2023 7:45,6.62,11.74
41,10/20/2023 8:00,6.42,11.72
42,10/20/2023 8:15,6.51,11.72
43,10/20/2023 8:30,6.6,11.76
44,10/20/2023 8:45,6.58,11.76
45,10/20/2023 9:00,6.64,11.76
46,10/20/2023 9:15,6.64,11.76
47,10/20/2023 9:30,6.6,11.76
48,10/20/2023 9:45,6.62,11.78
49,10/20/2023 10:00,6.73,11.8
50,10/20/2023 10:15,6.91,11.84
51,10/20/2023 10:30,6.75,11.82
52,10/20/2023 10:45,6.86,11.86
53,10/20/2023 11:00,6.88,11.88
54,10/20/2023 11:15,6.86,11.9
55,10/20/2023 11:30,6.74,11.88
56,10/20/2023 11:45,6.91,11.92
57,10/20/2023 12:00,6.84,11.96
58,10/20/2023 12:15,6.73,11.92
59,10/20/2023 12:30,6.76,11.9
60,10/20/2023 12:45,6.87,11.96
61,10/20/2023 13:00,7.04,12.04
62,10/20/2023 13:15,7.21,12.12
63,10/20/2023 13:30,7.1,12.08
64,10/20/2023 13:45,6.95,12.02
65,10/20/2023 14:00,6.84,11.96
66,10/20/2023 14:15,6.94,11.98
67,10/20/2023 14:30,7.08,12.04
68,10/20/2023 14:45,7.13,12.06
69,10/20/2023 15:00,7.15,12.08
70,10/20/2023 15:15,7.13,12.08
71,10/20/2023 15:30,7.15,12.08
72,10/20/2023 15:45,7.13,12.06
73,10/20/2023 16:00,7.2,12.06
74,10/20/2023 16:15,7.19,12.06
75,10/20/2023 16:30,7.21,12.06
76,10/20/2023 16:45,7.21,12.06
77,10/20/2023 17:00,7.22,12.04
78,10/20/2023 17:15,7.27,12.06
79,10/20/2023 17:30,7.29,12.08
80,10/20/2023 17:45,7.07,12.02
81,10/20/2023 18:00,7.32,12.06
82,10/20/2023 18:15,7.13,12
83,10/20/2023 18:30,7.2,12
84,10/20/2023 18:45,7.14,12
85,10/20/2023 19:00,7.12,11.98
86,10/20/2023 19:15,7.12,11.98
87,10/20/2023 19:30,7.15,11.96
88,10/20/2023 19:45,7.14,11.96
89,10/20/2023 20:00,7.22,11.96
90,10/20/2023 20:15,7.29,11.96
91,10/20/2023 20:30,7.26,11.96
92,10/20/2023 20:45,7.27,11.98
93,10/20/2023 21:00,7.31,11.98
94,10/20/2023 21:15,7.33,12
95,10/20/2023 21:30,7.26,11.98
96,10/20/2023 21:45,7.26,11.98
97,10/20/2023 22:00,7.25,11.98
98,10/20/2023 22:15,7.27,11.96
99,10/20/2023 22:30,7.28,11.96
100,10/20/2023 22:45,7.25,11.96
101,10/20/2023 23:00,7.28,11.96
102,10/20/2023 23:15,7.3,11.96
103,10/20/2023 23:30,7.28,11.96
104,10/20/2023 23:45,7.25,11.96
105,10/21/2023 0:00,7.25,11.96
106,10/21/2023 0:15,7.28,11.96
