"Plot Title: Hood Head"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20815580, SEN S/N: 20815580)","Temp, °C (LGR S/N: 20815580, SEN S/N: 20815580)"
1,05/12/23 01:00:00 PM,10.81,13.58
2,05/12/23 01:30:00 PM,15.39,10.96
3,05/12/23 02:00:00 PM,15.92,10.88
4,05/12/23 02:30:00 PM,15.58,10.94
5,05/12/23 03:00:00 PM,16.25,11.34
6,05/12/23 03:30:00 PM,16.00,11.20
7,05/12/23 04:00:00 PM,16.59,11.46
8,05/12/23 04:30:00 PM,16.47,11.36
9,05/12/23 05:00:00 PM,16.66,11.38
10,05/12/23 05:30:00 PM,16.38,11.36
11,05/12/23 06:00:00 PM,16.42,11.22
12,05/12/23 06:30:00 PM,16.46,11.04
13,05/12/23 07:00:00 PM,16.82,11.06
14,05/12/23 07:30:00 PM,16.02,11.02
15,05/12/23 08:00:00 PM,13.52,10.40
16,05/12/23 08:30:00 PM,14.94,10.56
17,05/12/23 09:00:00 PM,15.68,10.90
18,05/12/23 09:30:00 PM,14.70,10.68
19,05/12/23 10:00:00 PM,14.54,10.58
20,05/12/23 10:30:00 PM,14.73,10.66
21,05/12/23 11:00:00 PM,14.54,10.68
22,05/12/23 11:30:00 PM,14.33,10.64
23,05/13/23 12:00:00 AM,14.08,10.52
24,05/13/23 12:30:00 AM,14.08,10.50
25,05/13/23 01:00:00 AM,12.43,10.24
26,05/13/23 01:30:00 AM,12.82,10.04
27,05/13/23 02:00:00 AM,13.52,10.26
28,05/13/23 02:30:00 AM,13.77,10.26
29,05/13/23 03:00:00 AM,14.30,10.40
30,05/13/23 03:30:00 AM,14.13,10.38
31,05/13/23 04:00:00 AM,14.13,10.38
32,05/13/23 04:30:00 AM,14.19,10.46
33,05/13/23 05:00:00 AM,14.65,10.56
34,05/13/23 05:30:00 AM,13.80,10.38
35,05/13/23 06:00:00 AM,13.68,10.30
36,05/13/23 06:30:00 AM,13.73,10.34
37,05/13/23 07:00:00 AM,13.88,10.34
38,05/13/23 07:30:00 AM,14.05,10.36
39,05/13/23 08:00:00 AM,14.17,10.34
40,05/13/23 08:30:00 AM,13.99,10.36
41,05/13/23 09:00:00 AM,13.33,10.14
42,05/13/23 09:30:00 AM,13.47,10.16
43,05/13/23 10:00:00 AM,14.25,10.38
44,05/13/23 10:30:00 AM,14.45,10.42
45,05/13/23 11:00:00 AM,16.20,10.88
46,05/13/23 11:30:00 AM,16.46,11.22
47,05/13/23 12:00:00 PM,16.42,11.26
48,05/13/23 12:30:00 PM,16.56,11.28
49,05/13/23 01:00:00 PM,16.14,11.22
50,05/13/23 01:30:00 PM,16.55,11.26
51,05/13/23 02:00:00 PM,16.73,11.36
52,05/13/23 02:30:00 PM,16.97,11.32
53,05/13/23 03:00:00 PM,17.01,11.44
54,05/13/23 03:30:00 PM,17.17,11.58
55,05/13/23 04:00:00 PM,17.92,11.80
56,05/13/23 04:30:00 PM,17.56,12.00
57,05/13/23 05:00:00 PM,16.15,11.72
58,05/13/23 05:30:00 PM,16.35,11.30
59,05/13/23 06:00:00 PM,16.43,11.52
60,05/13/23 06:30:00 PM,16.57,11.38
61,05/13/23 07:00:00 PM,15.83,11.04
62,05/13/23 07:30:00 PM,14.37,10.60
63,05/13/23 08:00:00 PM,14.05,10.36
64,05/13/23 08:30:00 PM,13.37,10.48
65,05/13/23 09:00:00 PM,15.25,10.50
66,05/13/23 09:30:00 PM,14.62,10.76
67,05/13/23 10:00:00 PM,14.36,10.72
68,05/13/23 10:30:00 PM,13.47,10.44
69,05/13/23 11:00:00 PM,14.23,10.52
70,05/13/23 11:30:00 PM,14.11,10.62
