Plot Title: Man_August24_deploy,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,8/12/2024 13:00,8.6,13.12
2,8/12/2024 13:15,9.7,13.68
3,8/12/2024 13:30,9.88,13.94
4,8/12/2024 13:45,9.67,13.94
5,8/12/2024 14:00,9.53,13.8
6,8/12/2024 14:15,9.54,14.02
7,8/12/2024 14:30,9.94,14.56
8,8/12/2024 14:45,10.11,14.6
9,8/12/2024 15:00,9.84,14.26
10,8/12/2024 15:15,9.69,13.94
11,8/12/2024 15:30,9.82,14.12
12,8/12/2024 15:45,9.53,13.86
13,8/12/2024 16:00,9.7,13.76
14,8/12/2024 16:15,9.81,13.92
15,8/12/2024 16:30,10.59,14.9
16,8/12/2024 16:45,10.23,14.74
17,8/12/2024 17:00,9.69,14.24
18,8/12/2024 17:15,11.16,14.42
19,8/12/2024 17:30,10.36,14.8
20,8/12/2024 17:45,10.32,14.58
21,8/12/2024 18:00,10.29,14.58
22,8/12/2024 18:15,9.89,14.32
23,8/12/2024 18:30,9.61,14.38
24,8/12/2024 18:45,9.64,14.14
25,8/12/2024 19:00,9.75,14.2
26,8/12/2024 19:15,10.33,14.44
27,8/12/2024 19:30,9.87,14.42
28,8/12/2024 19:45,9.4,13.92
29,8/12/2024 20:00,9.35,13.74
30,8/12/2024 20:15,9.07,13.66
31,8/12/2024 20:30,9.68,13.52
32,8/12/2024 20:45,9.66,13.5
33,8/12/2024 21:00,9.41,13.5
34,8/12/2024 21:15,8.91,13.38
35,8/12/2024 21:30,8.99,13.32
36,8/12/2024 21:45,8.54,13.16
37,8/12/2024 22:00,8.76,13.08
38,8/12/2024 22:15,8.7,13.06
39,8/12/2024 22:30,8.72,13.04
40,8/12/2024 22:45,8.01,13.02
41,8/12/2024 23:00,8.28,13.08
42,8/12/2024 23:15,8.61,13.08
43,8/12/2024 23:30,8.86,13.14
44,8/12/2024 23:45,9.13,13.24
45,8/13/2024 0:00,9.11,13.26
46,8/13/2024 0:15,9.17,13.34
47,8/13/2024 0:30,9.15,13.42
48,8/13/2024 0:45,9.03,13.38
49,8/13/2024 1:00,9.85,13.5
50,8/13/2024 1:15,10.95,13.6
51,8/13/2024 1:30,10.62,13.72
52,8/13/2024 1:45,10.79,13.78
53,8/13/2024 2:00,10.58,13.82
54,8/13/2024 2:15,10.73,13.84
55,8/13/2024 2:30,9.71,13.6
56,8/13/2024 2:45,9.33,13.4
57,8/13/2024 3:00,9.32,13.36
58,8/13/2024 3:15,9.34,13.38
59,8/13/2024 3:30,9.39,13.44
60,8/13/2024 3:45,9.41,13.54
61,8/13/2024 4:00,9.47,13.62
62,8/13/2024 4:15,9.55,13.78
63,8/13/2024 4:30,9.61,13.9
64,8/13/2024 4:45,9.66,14
65,8/13/2024 5:00,9.56,14.04
66,8/13/2024 5:15,9.63,14.08
67,8/13/2024 5:30,9.56,14.12
68,8/13/2024 5:45,9.61,14.14
69,8/13/2024 6:00,9.75,14.16
70,8/13/2024 6:15,9.64,14.14
71,8/13/2024 6:30,9.85,14.28
72,8/13/2024 6:45,9.85,14.32
73,8/13/2024 7:00,9.78,14.32
74,8/13/2024 7:15,9.64,14.26
75,8/13/2024 7:30,9.78,14.24
76,8/13/2024 7:45,9.68,14.32
77,8/13/2024 8:00,9.67,14.38
78,8/13/2024 8:15,9.78,14.38
79,8/13/2024 8:30,9.74,14.36
80,8/13/2024 8:45,9.6,14.34
81,8/13/2024 9:00,9.56,14.34
82,8/13/2024 9:15,9.63,14.32
83,8/13/2024 9:30,9.68,14.32
84,8/13/2024 9:45,9.76,14.32
85,8/13/2024 10:00,9.82,14.36
86,8/13/2024 10:15,9.48,14.34
87,8/13/2024 10:30,9.53,14.3
88,8/13/2024 10:45,9.13,14.06
89,8/13/2024 11:00,8.89,13.54
90,8/13/2024 11:15,8.53,13.38
91,8/13/2024 11:30,8.4,13.08
92,8/13/2024 11:45,8.35,12.94
93,8/13/2024 12:00,8.26,12.9
94,8/13/2024 12:15,8.26,13
95,8/13/2024 12:30,8.27,12.98
96,8/13/2024 12:45,8.25,12.98
97,8/13/2024 13:00,8.13,12.9
98,8/13/2024 13:15,8.06,12.82
99,8/13/2024 13:30,8.06,12.8
100,8/13/2024 13:45,8.3,12.88
101,8/13/2024 14:00,9.14,13.4
102,8/13/2024 14:15,8.86,13.3
103,8/13/2024 14:30,8.9,13.2
104,8/13/2024 14:45,9,13.32
105,8/13/2024 15:00,9.07,13.32
106,8/13/2024 15:15,9.09,13.36
107,8/13/2024 15:30,9.17,13.38
108,8/13/2024 15:45,9.1,13.3
109,8/13/2024 16:00,9.17,13.44
110,8/13/2024 16:15,9.07,13.46
111,8/13/2024 16:30,9.29,13.52
112,8/13/2024 16:45,9.13,13.5
