Plot Title: Manchester Dock,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,4/9/2023 15:10,8.11,25.24
2,4/9/2023 15:25,8.17,24.8
3,4/9/2023 15:40,8.31,24.04
4,4/9/2023 15:55,8.42,23.6
5,4/9/2023 16:10,8.47,23.38
6,4/9/2023 16:25,8.51,23.26
7,4/9/2023 16:40,8.55,22.96
8,4/9/2023 16:55,8.6,21.4
9,4/9/2023 17:10,8.8,16.02
10,4/9/2023 17:25,10.98,9.9
11,4/9/2023 17:40,11.11,9.26
12,4/9/2023 17:55,11.04,9.26
13,4/9/2023 18:10,10.85,8.94
14,4/9/2023 18:25,10.83,8.92
15,4/9/2023 18:40,10.79,8.84
16,4/9/2023 18:55,10.69,9.02
17,4/9/2023 19:10,10.72,8.92
18,4/9/2023 19:25,10.79,9.14
19,4/9/2023 19:40,10.78,9
20,4/9/2023 19:55,10.81,9.06
21,4/9/2023 20:10,10.62,9.02
22,4/9/2023 20:25,10.84,9.02
23,4/9/2023 20:40,10.6,9.06
24,4/9/2023 20:55,10.69,9.02
25,4/9/2023 21:10,10.74,9.06
26,4/9/2023 21:25,10.95,9.04
27,4/9/2023 21:40,10.89,9.08
28,4/9/2023 21:55,10.74,9.08
29,4/9/2023 22:10,10.88,9.12
30,4/9/2023 22:25,10.75,9.14
31,4/9/2023 22:40,11.13,9.32
32,4/9/2023 22:55,11.11,9.28
33,4/9/2023 23:10,11.11,9.24
34,4/9/2023 23:25,11.07,9.22
35,4/9/2023 23:40,11.05,9.22
36,4/9/2023 23:55,11.06,9.24
37,4/10/2023 0:10,11.14,9.22
38,4/10/2023 0:25,11.07,9.22
39,4/10/2023 0:40,11.05,9.22
40,4/10/2023 0:55,10.85,9.22
41,4/10/2023 1:10,11.01,9.2
42,4/10/2023 1:25,11.02,9.2
43,4/10/2023 1:40,10.85,9.2
44,4/10/2023 1:55,10.97,9.2
45,4/10/2023 2:10,10.91,9.2
46,4/10/2023 2:25,10.97,9.18
47,4/10/2023 2:40,10.91,9.18
48,4/10/2023 2:55,10.93,9.16
49,4/10/2023 3:10,11,9.16
50,4/10/2023 3:25,10.99,9.18
51,4/10/2023 3:40,10.92,9.16
52,4/10/2023 3:55,10.97,9.14
53,4/10/2023 4:10,11.03,9.12
54,4/10/2023 4:25,10.86,9.16
55,4/10/2023 4:40,10.98,9.14
56,4/10/2023 4:55,10.94,9.14
57,4/10/2023 5:10,10.86,9.12
58,4/10/2023 5:25,10.9,9.12
59,4/10/2023 5:40,10.78,9.1
60,4/10/2023 5:55,10.88,9.08
61,4/10/2023 6:10,10.71,9.1
62,4/10/2023 6:25,10.9,9.08
63,4/10/2023 6:40,10.69,9.08
64,4/10/2023 6:55,10.59,9.06
65,4/10/2023 7:10,10.81,9.06
66,4/10/2023 7:25,10.77,9.06
67,4/10/2023 7:40,10.67,9.06
68,4/10/2023 7:55,10.71,9.08
69,4/10/2023 8:10,10.71,9.08
70,4/10/2023 8:25,10.74,9.1
71,4/10/2023 8:40,10.77,9.12
72,4/10/2023 8:55,10.76,9.14
73,4/10/2023 9:10,10.84,9.14
74,4/10/2023 9:25,10.73,9.14
75,4/10/2023 9:40,10.75,9.12
76,4/10/2023 9:55,10.69,9.14
77,4/10/2023 10:10,10.79,9.1
78,4/10/2023 10:25,10.73,9.1
79,4/10/2023 10:40,10.79,9.1
80,4/10/2023 10:55,10.79,9.12
81,4/10/2023 11:10,10.8,9.14
82,4/10/2023 11:25,10.73,9.16
83,4/10/2023 11:40,10.74,9.18
84,4/10/2023 11:55,10.7,9.18
85,4/10/2023 12:10,10.77,9.2
86,4/10/2023 12:25,11.07,10.08
87,4/10/2023 12:40,10.69,12.42
88,4/10/2023 12:55,10.3,14.56
89,4/10/2023 13:10,9.7,15.3
90,4/10/2023 13:25,10.37,12.7
91,4/10/2023 13:40,10.73,11.4
92,4/10/2023 13:55,10.91,10.82
93,4/10/2023 14:10,10.97,10.54
94,4/10/2023 14:25,10.92,10.84
95,4/10/2023 14:40,10.84,11.3
96,4/10/2023 14:55,10.75,11.64
97,4/10/2023 15:10,10.67,11.86
98,4/10/2023 15:25,10.66,11.94
99,4/10/2023 15:40,10.75,11.64
100,4/10/2023 15:55,10.78,11.34
101,4/10/2023 16:10,10.89,10.88
102,4/10/2023 16:25,10.95,10.66
103,4/10/2023 16:40,10.97,10.54
104,4/10/2023 16:55,10.97,10.58
105,4/10/2023 17:10,10.95,10.58
106,4/10/2023 17:25,10.88,10.54
107,4/10/2023 17:40,11.03,11.96
108,4/10/2023 17:55,10.52,13.46
109,4/10/2023 18:10,10.23,13.92
110,4/10/2023 18:25,10.27,14
111,4/10/2023 18:40,10.15,14.42
112,4/10/2023 18:55,10.1,14.38
113,4/10/2023 19:10,10.11,14.2
114,4/10/2023 19:25,10.16,13.88
115,4/10/2023 19:40,10.13,14
116,4/10/2023 19:55,10.09,15.12
117,4/10/2023 20:10,9.96,15.9
118,4/10/2023 20:25,9.88,16.56
119,4/10/2023 20:40,9.79,17.1
120,4/10/2023 20:55,9.69,17.5
121,4/10/2023 21:10,9.63,17.84
122,4/10/2023 21:25,9.57,18.1
123,4/10/2023 21:40,9.53,18.3
124,4/10/2023 21:55,9.52,18.44
125,4/10/2023 22:10,9.5,18.54
126,4/10/2023 22:25,9.48,18.64
127,4/10/2023 22:40,9.47,18.7
128,4/10/2023 22:55,9.44,18.78
129,4/10/2023 23:10,9.44,18.84
130,4/10/2023 23:25,9.43,18.88
131,4/10/2023 23:40,9.41,18.92
132,4/10/2023 23:55,9.41,18.94
133,4/11/2023 0:10,9.4,18.98
134,4/11/2023 0:25,9.4,19
135,4/11/2023 0:40,9.39,19
136,4/11/2023 0:55,9.41,19.02
137,4/11/2023 1:10,9.4,19.04
138,4/11/2023 1:25,9.4,19.06
139,4/11/2023 1:40,9.4,19.08
140,4/11/2023 1:55,9.4,19.08
141,4/11/2023 2:10,9.38,19.1
142,4/11/2023 2:25,9.38,19.12
143,4/11/2023 2:40,9.38,19.14
144,4/11/2023 2:55,9.37,19.16
145,4/11/2023 3:10,9.39,19.14
146,4/11/2023 3:25,9.37,19.14
147,4/11/2023 3:40,9.38,19.14
148,4/11/2023 3:55,9.39,19.14
149,4/11/2023 4:10,9.39,19.14
150,4/11/2023 4:25,9.39,19.12
151,4/11/2023 4:40,9.39,19.12
152,4/11/2023 4:55,9.38,19.12
153,4/11/2023 5:10,9.4,19.1
154,4/11/2023 5:25,9.4,19.1
155,4/11/2023 5:40,9.39,19.1
156,4/11/2023 5:55,9.39,19.08
157,4/11/2023 6:10,9.39,19.08
158,4/11/2023 6:25,9.39,19.08
159,4/11/2023 6:40,9.38,19.08
160,4/11/2023 6:55,9.38,19.08
161,4/11/2023 7:10,9.39,19.08
162,4/11/2023 7:25,9.38,19.08
163,4/11/2023 7:40,9.41,19.08
164,4/11/2023 7:55,9.4,19.14
165,4/11/2023 8:10,9.4,19.22
166,4/11/2023 8:25,9.39,19.28
167,4/11/2023 8:40,9.38,19.36
168,4/11/2023 8:55,9.36,19.44
169,4/11/2023 9:10,9.26,19.46
170,4/11/2023 9:25,9.23,19.36
171,4/11/2023 9:40,9.28,19.28
172,4/11/2023 9:55,9.34,19.24
173,4/11/2023 10:10,9.36,19.26
174,4/11/2023 10:25,9.35,19.3
175,4/11/2023 10:40,9.35,19.34
176,4/11/2023 10:55,9.36,19.36
177,4/11/2023 11:10,9.37,19.38
178,4/11/2023 11:25,9.33,19.36
179,4/11/2023 11:40,9.34,19.32
180,4/11/2023 11:55,9.22,19.02
181,4/11/2023 12:10,9.27,18.56
182,4/11/2023 12:25,9.33,18.26
183,4/11/2023 12:40,9.31,17.36
184,4/11/2023 12:55,9.58,15.76
185,4/11/2023 13:10,9.9,14.46
186,4/11/2023 13:25,10.23,13.52
187,4/11/2023 13:40,10.21,13.66
188,4/11/2023 13:55,10.37,13.16
189,4/11/2023 14:10,10.49,12.64
190,4/11/2023 14:25,10.59,12.24
191,4/11/2023 14:40,10.66,11.9
192,4/11/2023 14:55,10.72,11.64
193,4/11/2023 15:10,10.75,11.42
194,4/11/2023 15:25,10.8,11.18
195,4/11/2023 15:40,10.86,10.94
196,4/11/2023 15:55,10.91,10.68
197,4/11/2023 16:10,10.97,10.44
198,4/11/2023 16:25,11.02,10.2
199,4/11/2023 16:40,11.05,10.06
