"Date Time, GMT-07:00",DO_mgL,Temp_C
8/8/2023 13:35,8.68,22.5
8/8/2023 13:50,7.12,20.88
8/8/2023 14:05,8.55,13.96
8/8/2023 14:20,9.21,13.78
8/8/2023 14:35,9.36,13.74
8/8/2023 14:50,9.26,13.74
8/8/2023 15:05,9.23,13.76
8/8/2023 15:20,9.33,13.74
8/8/2023 15:35,9.28,13.9
8/8/2023 15:50,9.5,13.82
8/8/2023 16:05,9.51,13.9
8/8/2023 16:20,9.5,13.96
8/8/2023 16:35,9.54,14.08
8/8/2023 16:50,9.61,13.82
8/8/2023 17:05,9.81,14
8/8/2023 17:20,10.32,14.28
8/8/2023 17:35,10.59,14.36
8/8/2023 17:50,10.5,14.52
8/8/2023 18:05,10.23,14.46
8/8/2023 18:20,10.01,14.34
8/8/2023 18:35,9.9,14.06
8/8/2023 18:50,10.18,14.34
8/8/2023 19:05,10.24,14.42
8/8/2023 19:20,10.35,14.5
8/8/2023 19:35,10.3,14.48
8/8/2023 19:50,10.05,14.22
8/8/2023 20:05,9.98,13.9
8/8/2023 20:20,9.98,13.84
8/8/2023 20:35,9.74,13.7
8/8/2023 20:50,9.62,13.62
8/8/2023 21:05,9.44,13.54
8/8/2023 21:20,9.18,13.36
8/8/2023 21:35,9.2,13.26
8/8/2023 21:50,9.27,13.3
8/8/2023 22:05,9.3,13.36
8/8/2023 22:20,9.21,13.32
8/8/2023 22:35,9.11,13.28
8/8/2023 22:50,8.9,13.24
8/8/2023 23:05,8.87,13.2
8/8/2023 23:20,8.8,13.26
8/8/2023 23:35,8.94,13.28
8/8/2023 23:50,9.09,13.22
8/9/2023 0:05,9.31,13.32
8/9/2023 0:20,9.03,13.22
8/9/2023 0:35,9.16,13.22
8/9/2023 0:50,9.09,13.26
8/9/2023 1:05,9.03,13.26
8/9/2023 1:20,9.15,13.28
8/9/2023 1:35,9,13.3
8/9/2023 1:50,9.88,13.34
8/9/2023 2:05,9.71,13.44
8/9/2023 2:20,9.57,13.44
8/9/2023 2:35,9.88,13.6
8/9/2023 2:50,9.55,13.52
8/9/2023 3:05,9.4,13.42
8/9/2023 3:20,8.94,13.3
8/9/2023 3:35,9.4,13.42
8/9/2023 3:50,9.28,13.38
8/9/2023 4:05,9.54,13.6
8/9/2023 4:20,9.62,13.66
8/9/2023 4:35,9.55,13.7
8/9/2023 4:50,9.63,13.82
8/9/2023 5:05,9.72,13.88
8/9/2023 5:20,9.77,13.9
8/9/2023 5:35,9.86,13.96
8/9/2023 5:50,9.88,13.98
8/9/2023 6:05,10.03,14.06
8/9/2023 6:20,9.93,14.06
8/9/2023 6:35,9.96,14.06
8/9/2023 6:50,9.93,14.06
8/9/2023 7:05,10.03,14.1
8/9/2023 7:20,10.09,14.14
8/9/2023 7:35,10.15,14.2
8/9/2023 7:50,10.11,14.2
8/9/2023 8:05,10.06,14.16
8/9/2023 8:20,10.2,14.2
8/9/2023 8:35,10.15,14.2
8/9/2023 8:50,10.24,14.22
8/9/2023 9:05,10.01,14.2
8/9/2023 9:20,9.72,13.88
8/9/2023 9:35,9.78,13.84
8/9/2023 9:50,9.84,13.9
8/9/2023 10:05,9.91,13.96
8/9/2023 10:20,9.92,14.02
8/9/2023 10:35,9.98,14.08
8/9/2023 10:50,10.07,14.12
8/9/2023 11:05,9.6,13.98
8/9/2023 11:20,8.97,13.5
8/9/2023 11:35,8.79,13.16
8/9/2023 11:50,8.8,13.04
8/9/2023 12:05,8.92,13.14
8/9/2023 12:20,8.81,13.1
