"Plot Title: Chel_DO_Sep24_Deploy"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21837005, SEN S/N: 21837005, LBL: DO)","Temp, °C (LGR S/N: 21837005, SEN S/N: 21837005, LBL: Temp)"
1,09/16/24 01:00:00 PM,11.03,17.38
2,09/16/24 01:15:00 PM,11.55,17.14
3,09/16/24 01:30:00 PM,9.07,16.46
4,09/16/24 01:45:00 PM,8.26,15.96
5,09/16/24 02:00:00 PM,6.91,15.98
6,09/16/24 02:15:00 PM,6.60,16.06
7,09/16/24 02:30:00 PM,5.87,16.18
8,09/16/24 02:45:00 PM,5.60,15.80
9,09/16/24 03:00:00 PM,5.19,15.78
10,09/16/24 03:15:00 PM,7.16,16.14
11,09/16/24 03:30:00 PM,8.74,16.40
12,09/16/24 03:45:00 PM,9.31,16.30
13,09/16/24 04:00:00 PM,9.97,16.08
14,09/16/24 04:15:00 PM,8.67,15.84
15,09/16/24 04:30:00 PM,8.40,15.52
16,09/16/24 04:45:00 PM,8.01,15.40
17,09/16/24 05:00:00 PM,7.54,15.38
18,09/16/24 05:15:00 PM,6.21,15.38
19,09/16/24 05:30:00 PM,5.65,15.34
20,09/16/24 05:45:00 PM,7.29,15.36
21,09/16/24 06:00:00 PM,7.68,15.38
22,09/16/24 06:15:00 PM,7.54,15.36
23,09/16/24 06:30:00 PM,8.29,15.30
24,09/16/24 06:45:00 PM,8.18,15.28
25,09/16/24 07:00:00 PM,8.30,15.28
26,09/16/24 07:15:00 PM,8.05,15.28
27,09/16/24 07:30:00 PM,8.45,15.26
28,09/16/24 07:45:00 PM,8.42,15.26
29,09/16/24 08:00:00 PM,8.87,15.28
30,09/16/24 08:15:00 PM,9.10,15.28
31,09/16/24 08:30:00 PM,9.10,15.30
32,09/16/24 08:45:00 PM,8.91,15.30
33,09/16/24 09:00:00 PM,8.90,15.30
34,09/16/24 09:15:00 PM,7.73,15.30
35,09/16/24 09:30:00 PM,6.01,15.30
36,09/16/24 09:45:00 PM,6.01,15.28
37,09/16/24 10:00:00 PM,6.60,15.28
38,09/16/24 10:15:00 PM,6.34,15.26
39,09/16/24 10:30:00 PM,6.97,15.24
40,09/16/24 10:45:00 PM,5.62,15.22
41,09/16/24 11:00:00 PM,4.26,15.22
42,09/16/24 11:15:00 PM,5.81,15.20
43,09/16/24 11:30:00 PM,2.89,15.20
44,09/16/24 11:45:00 PM,2.45,15.18
45,09/17/24 12:00:00 AM,3.79,15.20
46,09/17/24 12:15:00 AM,4.11,15.24
47,09/17/24 12:30:00 AM,3.99,15.22
48,09/17/24 12:45:00 AM,4.23,15.22
49,09/17/24 01:00:00 AM,5.74,15.78
50,09/17/24 01:15:00 AM,6.50,15.76
51,09/17/24 01:30:00 AM,6.45,15.76
52,09/17/24 01:45:00 AM,7.29,15.76
53,09/17/24 02:00:00 AM,6.48,15.52
54,09/17/24 02:15:00 AM,6.30,15.42
55,09/17/24 02:30:00 AM,4.26,15.38
56,09/17/24 02:45:00 AM,6.55,15.32
57,09/17/24 03:00:00 AM,6.35,15.24
58,09/17/24 03:15:00 AM,7.63,15.18
59,09/17/24 03:30:00 AM,5.90,15.18
60,09/17/24 03:45:00 AM,4.01,15.18
61,09/17/24 04:00:00 AM,3.39,15.18
62,09/17/24 04:15:00 AM,2.99,15.18
63,09/17/24 04:30:00 AM,3.66,15.18
64,09/17/24 04:45:00 AM,6.89,15.20
65,09/17/24 05:00:00 AM,7.29,15.22
66,09/17/24 05:15:00 AM,6.40,15.20
67,09/17/24 05:30:00 AM,7.51,15.18
68,09/17/24 05:45:00 AM,7.50,15.18
69,09/17/24 06:00:00 AM,7.62,15.16
70,09/17/24 06:15:00 AM,7.77,15.14
71,09/17/24 06:30:00 AM,7.97,15.12
72,09/17/24 06:45:00 AM,8.25,15.12
73,09/17/24 07:00:00 AM,8.43,15.14
74,09/17/24 07:15:00 AM,7.49,15.16
75,09/17/24 07:30:00 AM,8.43,15.16
76,09/17/24 07:45:00 AM,8.36,15.16
77,09/17/24 08:00:00 AM,8.37,15.14
78,09/17/24 08:15:00 AM,8.42,15.14
79,09/17/24 08:30:00 AM,7.75,15.14
80,09/17/24 08:45:00 AM,7.54,15.14
81,09/17/24 09:00:00 AM,6.81,15.20
82,09/17/24 09:15:00 AM,6.63,15.20
83,09/17/24 09:30:00 AM,6.42,15.24
84,09/17/24 09:45:00 AM,5.81,15.26
85,09/17/24 10:00:00 AM,6.50,15.26
86,09/17/24 10:15:00 AM,7.95,15.36
87,09/17/24 10:30:00 AM,9.99,15.56
88,09/17/24 10:45:00 AM,10.30,14.10
89,09/17/24 11:00:00 AM,10.39,13.84
90,09/17/24 11:15:00 AM,10.41,13.86
91,09/17/24 11:30:00 AM,10.36,13.98
92,09/17/24 11:45:00 AM,10.40,14.14
93,09/17/24 12:00:00 PM,10.26,14.60
94,09/17/24 12:15:00 PM,10.22,14.80
95,09/17/24 12:30:00 PM,10.19,14.84
96,09/17/24 12:45:00 PM,10.25,14.82
97,09/17/24 01:00:00 PM,10.21,15.08
98,09/17/24 01:15:00 PM,7.26,15.90
99,09/17/24 01:30:00 PM,9.04,15.68
100,09/17/24 01:45:00 PM,7.68,15.62
101,09/17/24 02:00:00 PM,6.60,15.58
102,09/17/24 02:15:00 PM,6.22,15.62
103,09/17/24 02:30:00 PM,7.87,15.64
104,09/17/24 02:45:00 PM,9.19,15.66
105,09/17/24 03:00:00 PM,7.63,15.70
106,09/17/24 03:15:00 PM,7.23,15.66
107,09/17/24 03:30:00 PM,5.64,15.58
108,09/17/24 03:45:00 PM,5.83,15.48
109,09/17/24 04:00:00 PM,5.92,15.50
110,09/17/24 04:15:00 PM,5.56,15.50
111,09/17/24 04:30:00 PM,4.71,15.48
112,09/17/24 04:45:00 PM,5.38,15.50
113,09/17/24 05:00:00 PM,5.18,15.52
114,09/17/24 05:15:00 PM,5.19,15.60
115,09/17/24 05:30:00 PM,5.74,15.54
116,09/17/24 05:45:00 PM,4.84,15.48
117,09/17/24 06:00:00 PM,4.81,15.46
118,09/17/24 06:15:00 PM,4.69,15.42
119,09/17/24 06:30:00 PM,4.34,15.32
120,09/17/24 06:45:00 PM,4.94,15.26
121,09/17/24 07:00:00 PM,5.00,15.20
122,09/17/24 07:15:00 PM,8.42,15.36
123,09/17/24 07:30:00 PM,9.10,15.32
124,09/17/24 07:45:00 PM,8.68,15.26
125,09/17/24 08:00:00 PM,8.08,15.26
126,09/17/24 08:15:00 PM,8.28,15.24
127,09/17/24 08:30:00 PM,8.88,15.26
128,09/17/24 08:45:00 PM,8.90,15.28
129,09/17/24 09:00:00 PM,8.91,15.32
130,09/17/24 09:15:00 PM,8.46,15.32
131,09/17/24 09:30:00 PM,8.73,15.32
132,09/17/24 09:45:00 PM,8.72,15.32
133,09/17/24 10:00:00 PM,9.12,15.34
134,09/17/24 10:15:00 PM,9.23,15.38
135,09/17/24 10:30:00 PM,9.40,15.38
136,09/17/24 10:45:00 PM,9.42,15.40
137,09/17/24 11:00:00 PM,9.34,15.42
138,09/17/24 11:15:00 PM,9.12,15.40
139,09/17/24 11:30:00 PM,8.33,15.40
140,09/17/24 11:45:00 PM,6.75,15.38
141,09/18/24 12:00:00 AM,5.96,15.38
142,09/18/24 12:15:00 AM,5.55,15.40
143,09/18/24 12:30:00 AM,5.78,15.38
144,09/18/24 12:45:00 AM,6.64,15.36
145,09/18/24 01:00:00 AM,6.07,15.34
146,09/18/24 01:15:00 AM,7.28,15.32
147,09/18/24 01:30:00 AM,6.72,15.30
148,09/18/24 01:45:00 AM,6.89,15.28
149,09/18/24 02:00:00 AM,7.78,15.26
150,09/18/24 02:15:00 AM,6.84,15.22
151,09/18/24 02:30:00 AM,8.31,15.44
152,09/18/24 02:45:00 AM,7.95,15.56
153,09/18/24 03:00:00 AM,7.22,15.48
154,09/18/24 03:15:00 AM,6.73,15.32
155,09/18/24 03:30:00 AM,5.74,15.24
156,09/18/24 03:45:00 AM,5.39,15.18
157,09/18/24 04:00:00 AM,5.75,15.14
158,09/18/24 04:15:00 AM,4.67,15.10
159,09/18/24 04:30:00 AM,5.01,15.10
160,09/18/24 04:45:00 AM,5.12,15.10
161,09/18/24 05:00:00 AM,5.01,15.12
162,09/18/24 05:15:00 AM,5.07,15.16
163,09/18/24 05:30:00 AM,6.89,15.16
164,09/18/24 05:45:00 AM,7.84,15.16
165,09/18/24 06:00:00 AM,7.73,15.12
166,09/18/24 06:15:00 AM,7.69,15.12
167,09/18/24 06:30:00 AM,7.70,15.12
168,09/18/24 06:45:00 AM,8.16,15.08
169,09/18/24 07:00:00 AM,8.42,15.04
170,09/18/24 07:15:00 AM,8.39,15.02
171,09/18/24 07:30:00 AM,7.27,15.04
172,09/18/24 07:45:00 AM,7.00,15.08
173,09/18/24 08:00:00 AM,7.85,15.16
174,09/18/24 08:15:00 AM,8.43,15.18
175,09/18/24 08:30:00 AM,7.23,15.18
