#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,10/20/2023 10:00,6.65,11.78
2,10/20/2023 10:15,6.64,11.78
3,10/20/2023 10:30,6.65,11.78
4,10/20/2023 10:45,6.53,11.78
5,10/20/2023 11:00,6.39,11.74
6,10/20/2023 11:15,6.21,11.72
7,10/20/2023 11:30,6.22,11.7
8,10/20/2023 11:45,6.28,11.7
9,10/20/2023 12:00,6.21,11.7
10,10/20/2023 12:15,6.16,11.68
11,10/20/2023 12:30,6.11,11.68
12,10/20/2023 12:45,6.27,11.7
13,10/20/2023 13:00,6.5,11.74
14,10/20/2023 13:15,6.83,11.76
15,10/20/2023 13:30,7.1,11.8
16,10/20/2023 13:45,7.25,11.82
17,10/20/2023 14:00,8.4,11.92
18,10/20/2023 14:15,8.14,11.9
19,10/20/2023 14:30,9.4,11.94
20,10/20/2023 14:45,9.08,12
21,10/20/2023 15:00,9.05,12.04
22,10/20/2023 15:15,9.74,12.08
23,10/20/2023 15:30,10.45,12.1
24,10/20/2023 15:45,10.88,12.1
25,10/20/2023 16:00,11.19,12.08
26,10/20/2023 16:15,9.99,12.04
27,10/20/2023 16:30,10.46,12.04
28,10/20/2023 16:45,10.87,12.1
29,10/20/2023 17:00,9.98,12.14
30,10/20/2023 17:15,8.57,12.12
31,10/20/2023 17:30,8.03,12.12
32,10/20/2023 17:45,7.93,12.12
33,10/20/2023 18:00,7.69,12.14
34,10/20/2023 18:15,7.33,12.14
35,10/20/2023 18:30,7.07,12.14
36,10/20/2023 18:45,6.9,12.14
37,10/20/2023 19:00,6.72,12.14
38,10/20/2023 19:15,6.67,12.14
39,10/20/2023 19:30,6.72,12.16
40,10/20/2023 19:45,6.39,12.16
41,10/20/2023 20:00,6.03,12.18
42,10/20/2023 20:15,5.89,12.2
43,10/20/2023 20:30,5.87,12.2
44,10/20/2023 20:45,6.33,12.24
45,10/20/2023 21:00,6.23,12.22
46,10/20/2023 21:15,6.31,12.18
47,10/20/2023 21:30,6.08,12.14
48,10/20/2023 21:45,6.78,12.12
49,10/20/2023 22:00,7.04,12.08
50,10/20/2023 22:15,5.88,12.08
51,10/20/2023 22:30,6.07,12.04
52,10/20/2023 22:45,6.73,11.98
53,10/20/2023 23:00,6.75,11.98
54,10/20/2023 23:15,6.82,11.96
55,10/20/2023 23:30,6.74,11.94
56,10/20/2023 23:45,6.65,11.96
57,10/21/2023 0:00,6.54,11.96
58,10/21/2023 0:15,6.4,11.96
59,10/21/2023 0:30,6.23,11.96
60,10/21/2023 0:45,6.03,11.92
61,10/21/2023 1:00,5.67,11.94
62,10/21/2023 1:15,4.88,11.9
63,10/21/2023 1:30,4.5,11.7
64,10/21/2023 1:45,9.84,10.36
65,10/21/2023 2:00,10.12,9.54
66,10/21/2023 2:15,10.22,9.16
67,10/21/2023 2:30,10.3,8.86
68,10/21/2023 2:45,10.33,8.74
69,10/21/2023 3:00,10.37,8.62
70,10/21/2023 3:15,10.39,8.5
71,10/21/2023 3:30,10.43,8.32
72,10/21/2023 3:45,10.48,8.14
73,10/21/2023 4:00,10.49,8.08
74,10/21/2023 4:15,10.51,7.98
75,10/21/2023 4:30,10.53,7.9
76,10/21/2023 4:45,10.56,7.78
77,10/21/2023 5:00,10.6,7.64
78,10/21/2023 5:15,10.59,7.8
79,10/21/2023 5:30,4.65,10.42
80,10/21/2023 5:45,4.7,11.34
81,10/21/2023 6:00,4.98,11.52
82,10/21/2023 6:15,4.74,11.48
83,10/21/2023 6:30,5.9,11.5
84,10/21/2023 6:45,6.28,11.56
85,10/21/2023 7:00,6.03,11.5
86,10/21/2023 7:15,5.79,11.48
87,10/21/2023 7:30,6.19,11.54
88,10/21/2023 7:45,6.14,11.58
89,10/21/2023 8:00,6.57,11.64
90,10/21/2023 8:15,6.62,11.68
91,10/21/2023 8:30,6.68,11.68
92,10/21/2023 8:45,6.73,11.68
93,10/21/2023 9:00,6.81,11.7
94,10/21/2023 9:15,6.87,11.7
95,10/21/2023 9:30,6.93,11.72
96,10/21/2023 9:45,6.73,11.74
97,10/21/2023 10:00,6.64,11.74
98,10/21/2023 10:15,6.69,11.76
99,10/21/2023 10:30,6.66,11.78
100,10/21/2023 10:45,6.48,11.76
101,10/21/2023 11:00,6.37,11.74
102,10/21/2023 11:15,6.31,11.74
103,10/21/2023 11:30,6.3,11.72
104,10/21/2023 11:45,6.33,11.74
105,10/21/2023 12:00,6.33,11.74
106,10/21/2023 12:15,6.28,11.74
107,10/21/2023 12:30,6.29,11.74
108,10/21/2023 12:45,6.34,11.76
109,10/21/2023 13:00,6.31,11.76
110,10/21/2023 13:15,6.27,11.74
111,10/21/2023 13:30,6.24,11.74
112,10/21/2023 13:45,6.41,11.76
113,10/21/2023 14:00,6.31,11.74
114,10/21/2023 14:15,6.19,11.7
115,10/21/2023 14:30,6.27,11.7
116,10/21/2023 14:45,6.24,11.7
117,10/21/2023 15:00,6.26,11.7
118,10/21/2023 15:15,6.45,11.72
119,10/21/2023 15:30,6.64,11.76
120,10/21/2023 15:45,6.68,11.8
121,10/21/2023 16:00,6.6,11.82
122,10/21/2023 16:15,6.64,11.82
123,10/21/2023 16:30,6.75,11.84
124,10/21/2023 16:45,7.79,11.84
125,10/21/2023 17:00,7.11,11.86
126,10/21/2023 17:15,7.11,11.86
127,10/21/2023 17:30,7.3,11.86
128,10/21/2023 17:45,7.48,11.86
129,10/21/2023 18:00,7.58,11.86
130,10/21/2023 18:15,7.15,11.86
131,10/21/2023 18:30,7.04,11.84
132,10/21/2023 18:45,7.07,11.84
133,10/21/2023 19:00,6.79,11.86
134,10/21/2023 19:15,6.93,11.86
135,10/21/2023 19:30,6.7,11.86
136,10/21/2023 19:45,6.56,11.86
137,10/21/2023 20:00,6.65,11.84
138,10/21/2023 20:15,6.56,11.84
139,10/21/2023 20:30,6.32,11.84
140,10/21/2023 20:45,6.37,11.84
141,10/21/2023 21:00,6.19,11.84
142,10/21/2023 21:15,6.3,11.82
143,10/21/2023 21:30,6.05,11.82
144,10/21/2023 21:45,5.78,11.82
145,10/21/2023 22:00,5.64,11.8
146,10/21/2023 22:15,6.19,11.78
147,10/21/2023 22:30,5.77,11.8
148,10/21/2023 22:45,5.84,11.8
149,10/21/2023 23:00,5.88,11.8
150,10/21/2023 23:15,5.87,11.8
151,10/21/2023 23:30,5.79,11.8
152,10/21/2023 23:45,6.13,11.78
153,10/22/2023 0:00,5.67,11.78
154,10/22/2023 0:15,5.59,11.78
155,10/22/2023 0:30,6.31,11.76
156,10/22/2023 0:45,6.13,11.78
157,10/22/2023 1:00,5.72,11.8
158,10/22/2023 1:15,5.48,11.82
159,10/22/2023 1:30,5.02,11.8
160,10/22/2023 1:45,4.85,11.82
161,10/22/2023 2:00,4.52,11.82
162,10/22/2023 2:15,4.49,11.82
163,10/22/2023 2:30,4.62,11.8
164,10/22/2023 2:45,3.99,11.74
165,10/22/2023 3:00,9.53,11.26
166,10/22/2023 3:15,9.83,10.74
167,10/22/2023 3:30,9.9,10.52
168,10/22/2023 3:45,9.93,10.42
169,10/22/2023 4:00,9.96,10.34
170,10/22/2023 4:15,9.98,10.26
171,10/22/2023 4:30,9.99,10.16
172,10/22/2023 4:45,10.02,10.06
173,10/22/2023 5:00,10.04,9.98
174,10/22/2023 5:15,10.06,9.94
175,10/22/2023 5:30,10.06,9.94
176,10/22/2023 5:45,10.08,9.84
177,10/22/2023 6:00,10.09,9.78
178,10/22/2023 6:15,4.07,9.98
179,10/22/2023 6:30,4.26,11.26
180,10/22/2023 6:45,4.36,11.48
181,10/22/2023 7:00,4.41,11.58
182,10/22/2023 7:15,4.12,11.6
183,10/22/2023 7:30,3.72,11.62
184,10/22/2023 7:45,3.8,11.6
185,10/22/2023 8:00,4.12,11.6
186,10/22/2023 8:15,4.12,11.6
187,10/22/2023 8:30,5.29,11.6
188,10/22/2023 8:45,5.99,11.6
189,10/22/2023 9:00,6.29,11.62
190,10/22/2023 9:15,6.34,11.64
191,10/22/2023 9:30,6.44,11.64
192,10/22/2023 9:45,6.61,11.66
193,10/22/2023 10:00,6.69,11.66
194,10/22/2023 10:15,6.74,11.68
195,10/22/2023 10:30,6.73,11.68
196,10/22/2023 10:45,6.67,11.72
197,10/22/2023 11:00,6.6,11.72
198,10/22/2023 11:15,6.65,11.72
199,10/22/2023 11:30,6.65,11.72
200,10/22/2023 11:45,6.71,11.72
201,10/22/2023 12:00,6.64,11.72
202,10/22/2023 12:15,6.57,11.74
203,10/22/2023 12:30,6.61,11.76
204,10/22/2023 12:45,6.71,11.78
205,10/22/2023 13:00,6.79,11.8
206,10/22/2023 13:15,6.85,11.8
207,10/22/2023 13:30,6.88,11.82
208,10/22/2023 13:45,6.94,11.84
209,10/22/2023 14:00,6.92,11.84
210,10/22/2023 14:15,6.96,11.86
211,10/22/2023 14:30,7.04,11.88
212,10/22/2023 14:45,7.14,11.88
213,10/22/2023 15:00,7.23,11.9
214,10/22/2023 15:15,7.33,11.92
215,10/22/2023 15:30,7.5,11.96
216,10/22/2023 15:45,7.67,11.98
217,10/22/2023 16:00,7.51,11.98
218,10/22/2023 16:15,7.56,12
219,10/22/2023 16:30,7.75,12
220,10/22/2023 16:45,7.48,11.98
221,10/22/2023 17:00,7.71,12
222,10/22/2023 17:15,7.82,12
223,10/22/2023 17:30,7.84,12
224,10/22/2023 17:45,7.41,11.98
225,10/22/2023 18:00,7.31,11.96
226,10/22/2023 18:15,7.09,11.94
227,10/22/2023 18:30,6.83,11.92
228,10/22/2023 18:45,6.84,11.9
229,10/22/2023 19:00,6.88,11.9
230,10/22/2023 19:15,6.94,11.92
231,10/22/2023 19:30,6.71,11.9
232,10/22/2023 19:45,6.72,11.88
233,10/22/2023 20:00,6.63,11.86
234,10/22/2023 20:15,6.46,11.86
235,10/22/2023 20:30,6.74,11.86
236,10/22/2023 20:45,6.72,11.84
237,10/22/2023 21:00,6.82,11.82
238,10/22/2023 21:15,6.86,11.8
239,10/22/2023 21:30,6.92,11.78
240,10/22/2023 21:45,6.93,11.76
241,10/22/2023 22:00,6.94,11.74
242,10/22/2023 22:15,6.94,11.72
243,10/22/2023 22:30,6.82,11.72
244,10/22/2023 22:45,6.63,11.72
245,10/22/2023 23:00,6.58,11.7
246,10/22/2023 23:15,6.58,11.68
247,10/22/2023 23:30,6.65,11.64
248,10/22/2023 23:45,6.59,11.62
249,10/23/2023 0:00,6.53,11.62
250,10/23/2023 0:15,6.5,11.62
251,10/23/2023 0:30,6.47,11.64
252,10/23/2023 0:45,6.46,11.62
253,10/23/2023 1:00,6.5,11.58
254,10/23/2023 1:15,6.43,11.54
255,10/23/2023 1:30,6.34,11.58
256,10/23/2023 1:45,6.18,11.62
257,10/23/2023 2:00,6.12,11.62
258,10/23/2023 2:15,5.99,11.62
259,10/23/2023 2:30,5.92,11.62
260,10/23/2023 2:45,5.85,11.64
261,10/23/2023 3:00,5.74,11.66
262,10/23/2023 3:15,5.54,11.62
263,10/23/2023 3:30,5.3,11.58
264,10/23/2023 3:45,5.39,11.3
265,10/23/2023 4:00,5.34,11.12
266,10/23/2023 4:15,4.92,10.8
267,10/23/2023 4:30,9.84,9.96
268,10/23/2023 4:45,10.19,9.24
269,10/23/2023 5:00,10.3,9
270,10/23/2023 5:15,10.29,8.96
271,10/23/2023 5:30,10.3,9.02
272,10/23/2023 5:45,10.24,9.22
273,10/23/2023 6:00,10.27,9.12
274,10/23/2023 6:15,10.3,9.02
275,10/23/2023 6:30,10.3,9.02
276,10/23/2023 6:45,10.29,9.04
277,10/23/2023 7:00,10.27,9.04
278,10/23/2023 7:15,10.3,9.04
279,10/23/2023 7:30,4.72,10.26
280,10/23/2023 7:45,4.88,10.84
281,10/23/2023 8:00,4.86,11.02
282,10/23/2023 8:15,4.66,11.16
283,10/23/2023 8:30,4.6,11.24
284,10/23/2023 8:45,4.69,11.34
285,10/23/2023 9:00,4.74,11.42
286,10/23/2023 9:15,4.89,11.44
287,10/23/2023 9:30,5.06,11.46
288,10/23/2023 9:45,6.04,11.52
289,10/23/2023 10:00,6.24,11.56
290,10/23/2023 10:15,6.44,11.6
291,10/23/2023 10:30,6.54,11.6
292,10/23/2023 10:45,6.52,11.6
293,10/23/2023 11:00,6.56,11.6
294,10/23/2023 11:15,6.61,11.6
295,10/23/2023 11:30,6.74,11.62
296,10/23/2023 11:45,6.75,11.66
297,10/23/2023 12:00,6.74,11.68
298,10/23/2023 12:15,6.51,11.7
299,10/23/2023 12:30,6.36,11.68
300,10/23/2023 12:45,6.36,11.68
301,10/23/2023 13:00,6.39,11.68
302,10/23/2023 13:15,6.43,11.68
303,10/23/2023 13:30,6.52,11.68
304,10/23/2023 13:45,6.54,11.7
305,10/23/2023 14:00,6.53,11.7
306,10/23/2023 14:15,6.53,11.7
307,10/23/2023 14:30,6.5,11.68
308,10/23/2023 14:45,6.49,11.68
309,10/23/2023 15:00,6.48,11.68
310,10/23/2023 15:15,6.45,11.68
311,10/23/2023 15:30,6.44,11.66
312,10/23/2023 15:45,6.42,11.66
313,10/23/2023 16:00,6.41,11.66
314,10/23/2023 16:15,6.36,11.68
315,10/23/2023 16:30,6.33,11.68
316,10/23/2023 16:45,6.33,11.68
317,10/23/2023 17:00,6.26,11.68
318,10/23/2023 17:15,5.98,11.64
319,10/23/2023 17:30,5.95,11.64
320,10/23/2023 17:45,5.86,11.64
321,10/23/2023 18:00,5.76,11.64
322,10/23/2023 18:15,5.73,11.64
323,10/23/2023 18:30,5.51,11.64
324,10/23/2023 18:45,5.19,11.64
325,10/23/2023 19:00,5.22,11.64
326,10/23/2023 19:15,6.01,11.64
327,10/23/2023 19:30,6.05,11.64
328,10/23/2023 19:45,6.18,11.64
329,10/23/2023 20:00,6.18,11.64
330,10/23/2023 20:15,6.14,11.62
331,10/23/2023 20:30,5.96,11.62
332,10/23/2023 20:45,5.53,11.62
333,10/23/2023 21:00,5.35,11.62
334,10/23/2023 21:15,5.65,11.64
335,10/23/2023 21:30,5.94,11.62
336,10/23/2023 21:45,6.15,11.54
337,10/23/2023 22:00,6,11.52
338,10/23/2023 22:15,6.09,11.5
339,10/23/2023 22:30,6.14,11.48
340,10/23/2023 22:45,6.1,11.48
341,10/23/2023 23:00,5.88,11.5
342,10/23/2023 23:15,5.97,11.48
343,10/23/2023 23:30,5.79,11.46
344,10/23/2023 23:45,5.61,11.42
345,10/24/2023 0:00,5.44,11.42
346,10/24/2023 0:15,5.44,11.42
347,10/24/2023 0:30,5.32,11.48
348,10/24/2023 0:45,5.4,11.52
349,10/24/2023 1:00,5.16,11.52
350,10/24/2023 1:15,5.27,11.5
351,10/24/2023 1:30,5.93,11.42
352,10/24/2023 1:45,5.44,11.44
353,10/24/2023 2:00,5.48,11.48
354,10/24/2023 2:15,5.79,11.44
355,10/24/2023 2:30,6.11,11.42
356,10/24/2023 2:45,5.99,11.42
357,10/24/2023 3:00,5.72,11.44
358,10/24/2023 3:15,5.63,11.44
359,10/24/2023 3:30,5.63,11.42
360,10/24/2023 3:45,5.75,11.4
361,10/24/2023 4:00,5.74,11.38
362,10/24/2023 4:15,5.59,11.36
363,10/24/2023 4:30,5.55,11.32
364,10/24/2023 4:45,5.3,11.28
365,10/24/2023 5:00,5.02,11.22
366,10/24/2023 5:15,4.93,10.94
367,10/24/2023 5:30,4.77,10.42
368,10/24/2023 5:45,4.9,9.26
369,10/24/2023 6:00,10.61,7.56
370,10/24/2023 6:15,10.83,6.94
371,10/24/2023 6:30,10.88,6.6
372,10/24/2023 6:45,10.99,6.26
373,10/24/2023 7:00,10.96,6.66
374,10/24/2023 7:15,10.81,7.04
375,10/24/2023 7:30,10.77,7.18
376,10/24/2023 7:45,10.75,7.16
377,10/24/2023 8:00,10.93,6.56
378,10/24/2023 8:15,10.81,7.34
379,10/24/2023 8:30,4.93,9.52
380,10/24/2023 8:45,5.13,10.22
381,10/24/2023 9:00,5.29,10.5
382,10/24/2023 9:15,5.44,10.66
383,10/24/2023 9:30,5.55,10.68
384,10/24/2023 9:45,5.62,10.66
385,10/24/2023 10:00,5.73,10.72
386,10/24/2023 10:15,5.94,10.64
387,10/24/2023 10:30,6.07,10.64
388,10/24/2023 10:45,6.47,10.88
389,10/24/2023 11:00,6.85,11.06
390,10/24/2023 11:15,6.94,11.16
391,10/24/2023 11:30,7.31,11.38
392,10/24/2023 11:45,7.25,11.44
393,10/24/2023 12:00,7.18,11.48
394,10/24/2023 12:15,7.13,11.52
395,10/24/2023 12:30,7.11,11.54
396,10/24/2023 12:45,7.06,11.54
397,10/24/2023 13:00,7.01,11.54
398,10/24/2023 13:15,6.89,11.54
399,10/24/2023 13:30,6.64,11.52
400,10/24/2023 13:45,6.55,11.54
401,10/24/2023 14:00,6.52,11.54
402,10/24/2023 14:15,6.46,11.54
403,10/24/2023 14:30,6.4,11.54
404,10/24/2023 14:45,6.48,11.54
405,10/24/2023 15:00,6.45,11.54
406,10/24/2023 15:15,6.41,11.54
407,10/24/2023 15:30,6.41,11.54
408,10/24/2023 15:45,6.44,11.54
409,10/24/2023 16:00,6.5,11.54
410,10/24/2023 16:15,6.51,11.52
411,10/24/2023 16:30,6.45,11.52
412,10/24/2023 16:45,6.38,11.52
413,10/24/2023 17:00,6.4,11.52
414,10/24/2023 17:15,6.42,11.5
415,10/24/2023 17:30,6.2,11.5
416,10/24/2023 17:45,6.02,11.48
417,10/24/2023 18:00,6.46,11.46
418,10/24/2023 18:15,7.11,11.4
419,10/24/2023 18:30,7.31,11.34
420,10/24/2023 18:45,7.29,11.34
421,10/24/2023 19:00,7.23,11.34
422,10/24/2023 19:15,7.16,11.34
423,10/24/2023 19:30,7.17,11.32
424,10/24/2023 19:45,7.13,11.3
425,10/24/2023 20:00,7.15,11.3
426,10/24/2023 20:15,7.16,11.28
427,10/24/2023 20:30,7.2,11.26
428,10/24/2023 20:45,7.16,11.26
429,10/24/2023 21:00,7.09,11.24
430,10/24/2023 21:15,7.03,11.24
431,10/24/2023 21:30,6.94,11.22
432,10/24/2023 21:45,7.05,11.22
433,10/24/2023 22:00,6.9,11.24
434,10/24/2023 22:15,6.78,11.28
435,10/24/2023 22:30,6.63,11.3
436,10/24/2023 22:45,6.54,11.3
437,10/24/2023 23:00,6.5,11.3
438,10/24/2023 23:15,6.45,11.32
439,10/24/2023 23:30,6.46,11.32
440,10/24/2023 23:45,6.4,11.32
441,10/25/2023 0:00,6.33,11.3
442,10/25/2023 0:15,6.38,11.3
443,10/25/2023 0:30,6.33,11.26
444,10/25/2023 0:45,6.13,11.28
445,10/25/2023 1:00,6.04,11.28
446,10/25/2023 1:15,6.14,11.24
447,10/25/2023 1:30,6.24,11.24
448,10/25/2023 1:45,6.46,11.24
449,10/25/2023 2:00,6.5,11.26
450,10/25/2023 2:15,6.46,11.26
451,10/25/2023 2:30,6.42,11.28
452,10/25/2023 2:45,6.33,11.28
453,10/25/2023 3:00,6.32,11.28
454,10/25/2023 3:15,6.28,11.28
455,10/25/2023 3:30,6.31,11.26
456,10/25/2023 3:45,6.22,11.24
457,10/25/2023 4:00,6.2,11.24
458,10/25/2023 4:15,6.06,11.24
459,10/25/2023 4:30,6.02,11.24
460,10/25/2023 4:45,5.92,11.24
461,10/25/2023 5:00,5.82,11.22
462,10/25/2023 5:15,5.7,11.18
463,10/25/2023 5:30,5.65,11.14
464,10/25/2023 5:45,5.71,11.12
465,10/25/2023 6:00,5.59,11.1
466,10/25/2023 6:15,5.31,11.04
467,10/25/2023 6:30,5.43,10.96
468,10/25/2023 6:45,5.53,10.78
469,10/25/2023 7:00,5.84,10.62
470,10/25/2023 7:15,5.87,10.58
471,10/25/2023 7:30,6.06,10.34
472,10/25/2023 7:45,6.46,8.32
473,10/25/2023 8:00,10.7,7.04
474,10/25/2023 8:15,10.81,6.72
475,10/25/2023 8:30,10.86,6.62
476,10/25/2023 8:45,6.99,6.82
477,10/25/2023 9:00,5.53,9.74
478,10/25/2023 9:15,5.39,10.46
479,10/25/2023 9:30,5.7,10.7
480,10/25/2023 9:45,6.17,10.86
481,10/25/2023 10:00,6.49,10.98
482,10/25/2023 10:15,6.61,11.06
483,10/25/2023 10:30,6.69,11.12
