"Date Time, GMT-07:00",DO_mgL,Temp_C
6/5/2023 14:37,8.29,26.14
6/5/2023 14:37,,
6/5/2023 14:52,15.14,22.62
6/5/2023 15:07,14.46,17.86
6/5/2023 15:22,14.35,15.56
6/5/2023 15:37,14.63,14.84
6/5/2023 15:52,14.89,14.72
6/5/2023 16:07,14.83,14.4
6/5/2023 16:22,14.85,14.18
6/5/2023 16:37,15.09,14.12
6/5/2023 16:52,16.27,14.96
6/5/2023 17:07,16.06,14.74
6/5/2023 17:22,15.42,13.92
6/5/2023 17:37,15.26,13.34
6/5/2023 17:52,15.02,13.14
6/5/2023 18:07,13.92,13.06
6/5/2023 18:22,13.77,12.58
6/5/2023 18:37,13.77,12.5
6/5/2023 18:52,13.53,12.46
6/5/2023 19:07,13.02,12.32
6/5/2023 19:22,12.81,12.18
6/5/2023 19:37,12.57,12.16
6/5/2023 19:52,12.08,12.12
6/5/2023 20:07,11.74,12.06
6/5/2023 20:22,11.28,11.8
6/5/2023 20:37,10.35,11.46
6/5/2023 20:52,9.57,11.02
6/5/2023 21:07,9.1,10.76
6/5/2023 21:22,8.84,10.62
6/5/2023 21:37,8.55,10.42
6/5/2023 21:52,8.45,10.34
6/5/2023 22:07,8.43,10.34
6/5/2023 22:22,8.13,10.32
6/5/2023 22:37,8.27,10.3
6/5/2023 22:52,6.81,10.34
6/5/2023 23:07,8.07,10.3
6/5/2023 23:22,7.88,10.38
6/5/2023 23:37,7.56,10.42
6/5/2023 23:52,7.15,10.48
6/6/2023 0:07,7.16,10.48
6/6/2023 0:22,6.99,10.48
6/6/2023 0:37,6.87,10.52
6/6/2023 0:52,6.65,10.54
6/6/2023 1:07,6.32,10.58
6/6/2023 1:22,6.44,10.62
6/6/2023 1:37,6.29,10.66
6/6/2023 1:52,6.27,10.66
6/6/2023 2:07,6.15,10.7
6/6/2023 2:22,5.85,10.74
6/6/2023 2:37,5.55,10.78
6/6/2023 2:52,5.42,10.84
6/6/2023 3:07,5.22,10.86
6/6/2023 3:22,5.24,10.9
6/6/2023 3:37,5.27,10.94
6/6/2023 3:52,5.38,10.98
6/6/2023 4:07,5.23,11.02
6/6/2023 4:22,5.05,11.06
6/6/2023 4:37,4.64,11.1
6/6/2023 4:52,3.98,11.14
6/6/2023 5:07,3.94,11.2
6/6/2023 5:22,5,11.32
6/6/2023 5:37,6.13,11.44
6/6/2023 5:52,6.3,11.5
6/6/2023 6:07,4.8,11.44
6/6/2023 6:22,6.13,11.48
6/6/2023 6:37,9.3,11.62
6/6/2023 6:52,10.82,11.66
6/6/2023 7:07,11.04,11.68
6/6/2023 7:22,10.78,11.68
6/6/2023 7:37,11.05,11.68
6/6/2023 7:52,11.04,11.7
6/6/2023 8:07,11.13,11.74
6/6/2023 8:22,11.18,11.78
6/6/2023 8:37,11.26,11.8
6/6/2023 8:52,11.39,11.82
6/6/2023 9:07,11.75,11.86
6/6/2023 9:22,11.26,12
6/6/2023 9:37,11.57,12.2
6/6/2023 9:52,11.08,12.62
6/6/2023 10:07,12.11,13.54
6/6/2023 10:22,9.95,15.26
6/6/2023 10:37,9.84,16.4
6/6/2023 10:52,9.5,18.1
6/6/2023 11:07,9.17,20.02
6/6/2023 11:22,8.96,21.28
6/6/2023 11:37,8.81,21.68
6/6/2023 11:52,8.7,22.88
6/6/2023 12:07,8.67,23.38
6/6/2023 12:22,8.69,23.4
6/6/2023 12:37,8.69,23.48
6/6/2023 12:52,8.69,23.28
6/6/2023 13:07,8.82,23.9
6/6/2023 13:22,8.47,24.32
6/6/2023 13:37,8.55,24.78
6/6/2023 13:52,8.46,25.3
6/6/2023 14:07,8.39,26.1
6/6/2023 14:22,8.26,26.66
6/6/2023 14:37,8.1,26.62
6/6/2023 14:52,8.2,26.28
6/6/2023 15:07,8.48,26.26
6/6/2023 15:22,8,27.96
6/6/2023 15:37,18.31,23.74
6/6/2023 15:52,17.34,18.42
6/6/2023 16:07,17.59,16.52
6/6/2023 16:22,17.88,16.04
6/6/2023 16:37,17.18,15.32
6/6/2023 16:52,16.88,14.86
6/6/2023 17:07,16.84,14.74
6/6/2023 17:22,16.86,14.92
6/6/2023 17:37,15.16,14.2
6/6/2023 17:52,14.66,13.76
6/6/2023 18:07,13.95,13.04
6/6/2023 18:22,13.62,12.64
6/6/2023 18:37,13.72,12.58
6/6/2023 18:52,13.74,12.58
