"Date Time, GMT-07:00",DO_mgL,Temp_C
4/9/2023 15:00,8.64,24.16
4/9/2023 15:15,8.51,24.24
4/9/2023 15:30,8.51,24.14
4/9/2023 15:45,8.53,24.02
4/9/2023 16:00,8.57,23.92
4/9/2023 16:15,8.59,23.84
4/9/2023 16:30,8.58,23.72
4/9/2023 16:45,8.68,23
4/9/2023 17:00,8.86,20.48
4/9/2023 17:15,10.27,12.26
4/9/2023 17:30,11.28,9.78
4/9/2023 17:45,11.3,9.32
4/9/2023 18:00,11.13,9.24
4/9/2023 18:15,11.16,9.04
4/9/2023 18:30,11.07,9
4/9/2023 18:45,10.96,8.96
4/9/2023 19:00,10.94,9.02
4/9/2023 19:15,11.01,9.08
4/9/2023 19:30,11.02,9.1
4/9/2023 19:45,10.94,9.16
4/9/2023 20:00,11.01,9.08
4/9/2023 20:15,11.01,9.18
4/9/2023 20:30,10.95,9.06
4/9/2023 20:45,10.99,9.12
4/9/2023 21:00,11.03,9.08
4/9/2023 21:15,11.02,9.12
4/9/2023 21:30,11.13,9.14
4/9/2023 21:45,11.08,9.16
4/9/2023 22:00,10.81,9.18
4/9/2023 22:15,10.99,9.2
4/9/2023 22:30,11.01,9.3
4/9/2023 22:45,11.32,9.34
4/9/2023 23:00,11.31,9.32
4/9/2023 23:15,11.28,9.3
4/9/2023 23:30,11.24,9.3
4/9/2023 23:45,11.29,9.32
4/10/2023 0:00,11.22,9.3
4/10/2023 0:15,11.3,9.32
4/10/2023 0:30,11.23,9.3
4/10/2023 0:45,11.2,9.28
4/10/2023 1:00,11.04,9.3
4/10/2023 1:15,11.19,9.28
4/10/2023 1:30,11.17,9.3
4/10/2023 1:45,11.06,9.28
4/10/2023 2:00,10.94,9.28
4/10/2023 2:15,10.99,9.26
4/10/2023 2:30,11.14,9.26
4/10/2023 2:45,11.14,9.26
4/10/2023 3:00,11.08,9.2
4/10/2023 3:15,11.23,9.24
4/10/2023 3:30,11.14,9.24
4/10/2023 3:45,11.02,9.22
4/10/2023 4:00,11.13,9.2
4/10/2023 4:15,11.23,9.22
4/10/2023 4:30,11.06,9.22
4/10/2023 4:45,11.18,9.22
4/10/2023 5:00,11.1,9.2
4/10/2023 5:15,11.17,9.2
4/10/2023 5:30,11.07,9.18
4/10/2023 5:45,11.13,9.18
4/10/2023 6:00,11.01,9.16
4/10/2023 6:15,11.11,9.16
4/10/2023 6:30,10.7,9.16
4/10/2023 6:45,11.01,9.16
4/10/2023 7:00,10.75,9.16
4/10/2023 7:15,11.04,9.14
4/10/2023 7:30,10.8,9.14
4/10/2023 7:45,10.86,9.14
4/10/2023 8:00,10.89,9.16
4/10/2023 8:15,10.94,9.18
4/10/2023 8:30,10.9,9.18
4/10/2023 8:45,11.04,9.2
4/10/2023 9:00,10.98,9.22
4/10/2023 9:15,11.05,9.22
4/10/2023 9:30,10.87,9.22
4/10/2023 9:45,10.89,9.22
4/10/2023 10:00,10.96,9.2
4/10/2023 10:15,10.99,9.18
4/10/2023 10:30,10.99,9.18
4/10/2023 10:45,11.01,9.18
4/10/2023 11:00,11.05,9.2
4/10/2023 11:15,10.99,9.24
4/10/2023 11:30,10.95,9.26
4/10/2023 11:45,10.89,9.26
4/10/2023 12:00,11.02,9.28
4/10/2023 12:15,10.98,9.3
4/10/2023 12:30,11.27,10.22
4/10/2023 12:45,11.15,11.28
4/10/2023 13:00,10.84,12.38
4/10/2023 13:15,10.42,12.76
4/10/2023 13:30,10.52,11.94
4/10/2023 13:45,10.69,12.08
4/10/2023 14:00,10.77,11.94
4/10/2023 14:15,10.84,11.7
4/10/2023 14:30,10.82,12.14
4/10/2023 14:45,10.32,13.44
4/10/2023 15:00,10.68,12.12
4/10/2023 15:15,10.94,11.62
4/10/2023 15:30,10.91,11.52
4/10/2023 15:45,10.98,11.18
4/10/2023 16:00,11.08,10.8
4/10/2023 16:15,12.33,10.28
4/10/2023 16:30,19.76,10.16
4/10/2023 16:45,17.7,9.92
4/10/2023 17:00,18.12,9.84
4/10/2023 17:15,17.11,9.72
4/10/2023 17:30,14.89,9.36
4/10/2023 17:45,14.46,9.32
4/10/2023 18:00,13.43,9.16
4/10/2023 18:15,13.24,9.1
4/10/2023 18:30,13.06,9.08
4/10/2023 18:45,12.75,9.02
4/10/2023 19:00,12.53,8.94
4/10/2023 19:15,12.32,8.9
4/10/2023 19:30,12.11,8.88
4/10/2023 19:45,11.95,8.84
4/10/2023 20:00,11.88,8.82
4/10/2023 20:15,11.76,8.8
4/10/2023 20:30,11.72,8.78
4/10/2023 20:45,11.65,8.76
4/10/2023 21:00,11.65,8.76
4/10/2023 21:15,11.67,8.76
4/10/2023 21:30,11.67,8.76
4/10/2023 21:45,11.67,8.76
4/10/2023 22:00,11.59,8.76
4/10/2023 22:15,11.57,8.74
4/10/2023 22:30,11.67,8.76
4/10/2023 22:45,11.68,8.76
4/10/2023 23:00,11.66,8.76
4/10/2023 23:15,11.64,8.76
4/10/2023 23:30,11.63,8.76
4/10/2023 23:45,11.6,8.74
4/11/2023 0:00,11.59,8.72
4/11/2023 0:15,11.47,8.7
4/11/2023 0:30,11.49,8.72
4/11/2023 0:45,11.41,8.72
4/11/2023 1:00,11.3,8.72
4/11/2023 1:15,11.29,8.72
4/11/2023 1:30,11.27,8.7
4/11/2023 1:45,11.2,8.7
4/11/2023 2:00,11.24,8.72
4/11/2023 2:15,11.31,8.7
4/11/2023 2:30,11.42,8.68
4/11/2023 2:45,11.42,8.68
4/11/2023 3:00,11.53,8.68
4/11/2023 3:15,11.41,8.68
4/11/2023 3:30,11.38,8.7
4/11/2023 3:45,11.38,8.68
4/11/2023 4:00,11.4,8.66
4/11/2023 4:15,11.36,8.66
4/11/2023 4:30,11.37,8.66
4/11/2023 4:45,11.35,8.64
4/11/2023 5:00,11.32,8.64
4/11/2023 5:15,11.32,8.64
4/11/2023 5:30,11.32,8.62
4/11/2023 5:45,11.3,8.62
4/11/2023 6:00,11.31,8.6
4/11/2023 6:15,11.3,8.58
4/11/2023 6:30,11.27,8.58
4/11/2023 6:45,11.25,8.56
4/11/2023 7:00,11.28,8.54
4/11/2023 7:15,11.24,8.54
4/11/2023 7:30,11.26,8.54
4/11/2023 7:45,11.27,8.52
4/11/2023 8:00,11.19,8.52
4/11/2023 8:15,11.23,8.5
4/11/2023 8:30,11.3,8.5
4/11/2023 8:45,11.39,8.5
4/11/2023 9:00,11.59,8.52
4/11/2023 9:15,11.67,8.52
4/11/2023 9:30,12.15,8.54
4/11/2023 9:45,12.3,8.56
4/11/2023 10:00,12.13,8.58
4/11/2023 10:15,12.13,8.58
4/11/2023 10:30,12.47,8.6
4/11/2023 10:45,12.64,8.66
4/11/2023 11:00,12.52,8.72
4/11/2023 11:15,11.71,8.74
4/11/2023 11:30,12.66,8.82
4/11/2023 11:45,12.72,8.92
4/11/2023 12:00,13.09,9.06
4/11/2023 12:15,14.16,9.3
4/11/2023 12:30,12.6,9.7
4/11/2023 12:45,13.87,10.02
4/11/2023 13:00,14.78,10.34
4/11/2023 13:15,20.63,10.78
4/11/2023 13:30,11.36,9.44
4/11/2023 13:45,11.41,9.46
4/11/2023 14:00,11.4,9.7
