Plot Title: Thorndyke_DO_july24_deploy,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,7/23/2024 14:00,8.54,23.92
2,7/23/2024 14:15,8.71,23.26
3,7/23/2024 14:30,8.7,23.46
4,7/23/2024 14:45,8.7,23.66
5,7/23/2024 15:00,8.7,23.42
6,7/23/2024 15:15,19.24,24.1
7,7/23/2024 15:30,18.8,21.32
8,7/23/2024 15:45,17.27,19.4
9,7/23/2024 16:00,15.89,19
10,7/23/2024 16:15,14.22,18.32
11,7/23/2024 16:30,14.25,18.3
12,7/23/2024 16:45,14.44,18.34
13,7/23/2024 17:00,13.7,17.88
14,7/23/2024 17:15,13.1,17.14
15,7/23/2024 17:30,12.53,16.88
16,7/23/2024 17:45,12.3,17.02
17,7/23/2024 18:00,12.03,16.92
18,7/23/2024 18:15,11.81,16.48
19,7/23/2024 18:30,11.8,16.24
20,7/23/2024 18:45,11.64,16
21,7/23/2024 19:00,11.63,15.8
22,7/23/2024 19:15,11.51,15.5
23,7/23/2024 19:30,11.32,15.32
24,7/23/2024 19:45,11.1,15.22
25,7/23/2024 20:00,10.87,14.94
26,7/23/2024 20:15,10.55,14.52
27,7/23/2024 20:30,10.08,14.14
28,7/23/2024 20:45,9.46,13.58
29,7/23/2024 21:00,9.08,13.24
30,7/23/2024 21:15,8.87,13.1
31,7/23/2024 21:30,8.58,13
32,7/23/2024 21:45,8.46,12.9
33,7/23/2024 22:00,8.3,12.88
34,7/23/2024 22:15,8.09,12.76
35,7/23/2024 22:30,8,12.64
36,7/23/2024 22:45,7.97,12.56
37,7/23/2024 23:00,7.73,12.58
38,7/23/2024 23:15,7.5,12.66
39,7/23/2024 23:30,7.44,12.74
40,7/23/2024 23:45,7.27,12.86
41,7/24/2024 0:00,6.91,12.92
42,7/24/2024 0:15,6.67,13
43,7/24/2024 0:30,6.24,13.08
44,7/24/2024 0:45,6.2,13.1
45,7/24/2024 1:00,5.95,13.12
46,7/24/2024 1:15,5.09,13.14
47,7/24/2024 1:30,5,13.18
48,7/24/2024 1:45,5.14,13.24
49,7/24/2024 2:00,5.33,13.34
50,7/24/2024 2:15,5.78,13.38
51,7/24/2024 2:30,5.84,13.48
52,7/24/2024 2:45,7.31,13.68
53,7/24/2024 3:00,7.82,13.78
54,7/24/2024 3:15,7.93,13.8
55,7/24/2024 3:30,8.25,13.86
56,7/24/2024 3:45,8.54,13.96
57,7/24/2024 4:00,9.16,14
58,7/24/2024 4:15,9.19,13.98
59,7/24/2024 4:30,9.05,13.94
60,7/24/2024 4:45,8.9,13.92
61,7/24/2024 5:00,8.35,13.86
