Plot Title: Thorndyke_DO_aug24_deploy,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,8/20/2024 13:00,9.11,19.86
2,8/20/2024 13:15,9,20.82
3,8/20/2024 13:30,8.75,21.76
4,8/20/2024 13:45,19.42,21.14
5,8/20/2024 14:00,20.43,17.9
6,8/20/2024 14:15,18.81,16.48
7,8/20/2024 14:30,18.79,16.18
8,8/20/2024 14:45,17.85,16.04
9,8/20/2024 15:00,15.36,15.7
10,8/20/2024 15:15,13.71,15.28
11,8/20/2024 15:30,12.25,15.16
12,8/20/2024 15:45,10.58,14.82
13,8/20/2024 16:00,9.7,14.78
14,8/20/2024 16:15,9.08,14.72
15,8/20/2024 16:30,8.77,14.5
16,8/20/2024 16:45,8.55,14.38
17,8/20/2024 17:00,8.48,14.22
18,8/20/2024 17:15,8.65,14.28
19,8/20/2024 17:30,8.7,14.32
20,8/20/2024 17:45,8.77,14.32
21,8/20/2024 18:00,8.73,14.3
22,8/20/2024 18:15,8.7,14.32
23,8/20/2024 18:30,8.69,14.34
24,8/20/2024 18:45,8.63,14.34
25,8/20/2024 19:00,8.56,14.32
26,8/20/2024 19:15,8.51,14.3
27,8/20/2024 19:30,8.45,14.26
28,8/20/2024 19:45,8.27,14.22
29,8/20/2024 20:00,7.89,13.94
30,8/20/2024 20:15,7.88,13.8
31,8/20/2024 20:30,8.09,13.9
32,8/20/2024 20:45,8.17,14.04
33,8/20/2024 21:00,8.09,14.14
34,8/20/2024 21:15,7.9,14.18
35,8/20/2024 21:30,8.01,14.16
36,8/20/2024 21:45,7.51,14.08
37,8/20/2024 22:00,7.35,13.84
38,8/20/2024 22:15,7.35,13.8
39,8/20/2024 22:30,7.32,13.92
40,8/20/2024 22:45,6.95,14.04
41,8/20/2024 23:00,7.32,14.06
42,8/20/2024 23:15,7.13,14.04
43,8/20/2024 23:30,7.13,14
44,8/20/2024 23:45,6.96,14
45,8/21/2024 0:00,6.84,14
46,8/21/2024 0:15,6.74,13.98
47,8/21/2024 0:30,6.59,13.94
48,8/21/2024 0:45,6.5,13.92
49,8/21/2024 1:00,6.35,13.88
50,8/21/2024 1:15,6.35,13.86
51,8/21/2024 1:30,6.64,13.82
52,8/21/2024 1:45,6.83,13.84
53,8/21/2024 2:00,7.09,13.9
54,8/21/2024 2:15,7.3,13.94
55,8/21/2024 2:30,7.49,13.98
56,8/21/2024 2:45,7.56,13.98
57,8/21/2024 3:00,7.57,13.98
58,8/21/2024 3:15,7.54,13.96
59,8/21/2024 3:30,7.5,13.94
60,8/21/2024 3:45,7.31,13.94
61,8/21/2024 4:00,6.92,13.94
62,8/21/2024 4:15,7.24,13.92
63,8/21/2024 4:30,7.33,13.9
64,8/21/2024 4:45,7.13,13.9
65,8/21/2024 5:00,7.09,13.82
