#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,6/21/2024 12:00,8.51,24.12
2,6/21/2024 12:15,8.6,23.72
3,6/21/2024 12:30,8.75,23.46
4,6/21/2024 12:45,8.61,24.12
5,6/21/2024 13:00,8.68,23.76
6,6/21/2024 13:15,8.72,23.64
7,6/21/2024 13:30,22.08,23.48
8,6/21/2024 13:45,21.65,21.32
9,6/21/2024 14:00,21.43,19.72
10,6/21/2024 14:15,20.57,18.64
11,6/21/2024 14:30,20.11,18.04
12,6/21/2024 14:45,20.06,17.8
13,6/21/2024 15:00,17.68,17.38
14,6/21/2024 15:15,16.64,17.04
15,6/21/2024 15:30,16.83,16.18
16,6/21/2024 15:45,17.01,15.26
17,6/21/2024 16:00,16.7,14.84
18,6/21/2024 16:15,16.72,14.76
19,6/21/2024 16:30,16.54,14.76
20,6/21/2024 16:45,16.7,14.72
21,6/21/2024 17:00,16.2,14.46
22,6/21/2024 17:15,15.48,14.1
23,6/21/2024 17:30,15.52,13.92
24,6/21/2024 17:45,15.4,13.9
25,6/21/2024 18:00,15.68,13.9
26,6/21/2024 18:15,15.59,13.9
27,6/21/2024 18:30,15.55,13.86
28,6/21/2024 18:45,15.42,13.82
29,6/21/2024 19:00,15.29,13.72
30,6/21/2024 19:15,15.11,13.64
31,6/21/2024 19:30,14.75,13.56
32,6/21/2024 19:45,12.84,13.24
33,6/21/2024 20:00,11.02,12.5
34,6/21/2024 20:15,10.56,12.28
35,6/21/2024 20:30,9.94,11.98
36,6/21/2024 20:45,9.67,11.72
37,6/21/2024 21:00,9.43,11.64
38,6/21/2024 21:15,9.15,11.6
39,6/21/2024 21:30,9,11.56
40,6/21/2024 21:45,8.88,11.58
41,6/21/2024 22:00,8.73,11.62
42,6/21/2024 22:15,8.79,11.66
43,6/21/2024 22:30,8.29,11.7
44,6/21/2024 22:45,7.98,11.74
45,6/21/2024 23:00,7.6,11.78
46,6/21/2024 23:15,7.74,11.86
47,6/21/2024 23:30,7.8,11.9
48,6/21/2024 23:45,7.98,12.02
49,6/22/2024 0:00,7.99,12.08
50,6/22/2024 0:15,7.57,12.1
51,6/22/2024 0:30,6.9,12.14
52,6/22/2024 0:45,6.49,12.16
53,6/22/2024 1:00,6.58,12.2
54,6/22/2024 1:15,6.52,12.24
55,6/22/2024 1:30,6.2,12.3
56,6/22/2024 1:45,6.26,12.4
57,6/22/2024 2:00,5.86,12.42
58,6/22/2024 2:15,5.37,12.44
59,6/22/2024 2:30,4.29,12.5
60,6/22/2024 2:45,5.13,12.6
61,6/22/2024 3:00,4.71,12.64
62,6/22/2024 3:15,5.51,12.64
63,6/22/2024 3:30,4.68,12.62
64,6/22/2024 3:45,5.26,12.7
65,6/22/2024 4:00,10.31,12.94
66,6/22/2024 4:15,11.92,13.08
67,6/22/2024 4:30,11.46,13.08
68,6/22/2024 4:45,11.73,13.06
69,6/22/2024 5:00,11.36,13.06
70,6/22/2024 5:15,11.82,13.12
71,6/22/2024 5:30,12.37,13.14
72,6/22/2024 5:45,12.11,13.14
73,6/22/2024 6:00,12.54,13.14
74,6/22/2024 6:15,12.54,13.16
75,6/22/2024 6:30,12.57,13.16
76,6/22/2024 6:45,12.17,13.14
77,6/22/2024 7:00,11.98,13.12
