#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,5/10/2024 15:00,8.25,24.92
2,5/10/2024 16:00,18.79,16.26
3,5/10/2024 17:00,17.64,14.2
4,5/10/2024 18:00,11.91,12
5,5/10/2024 19:00,11.66,11.34
6,5/10/2024 20:00,11.57,11.26
7,5/10/2024 21:00,11.22,11.12
8,5/10/2024 22:00,10.07,10.52
9,5/10/2024 23:00,9.77,10.6
10,5/11/2024 0:00,9.38,10.26
11,5/11/2024 1:00,9.28,10.18
12,5/11/2024 2:00,8.86,10.28
13,5/11/2024 3:00,8.9,10.36
14,5/11/2024 4:00,9.13,10.38
15,5/11/2024 5:00,8.91,10.38
16,5/11/2024 6:00,9.07,10.38
17,5/11/2024 7:00,9.58,10.44
18,5/11/2024 8:00,10.56,10.68
19,5/11/2024 9:00,10.91,10.92
20,5/11/2024 10:00,11.05,11.2
21,5/11/2024 11:00,13.08,13.12
22,5/11/2024 12:00,9.84,17.04
23,5/11/2024 13:00,9.28,20.38
24,5/11/2024 14:00,8.27,25.28
25,5/11/2024 15:00,7.86,27.52
26,5/11/2024 16:00,8.03,27.44
27,5/11/2024 17:00,18.07,15.32
28,5/11/2024 18:00,17.29,14.42
29,5/11/2024 19:00,12.13,12.04
30,5/11/2024 20:00,11.71,11.56
31,5/11/2024 21:00,11.55,11.34
32,5/11/2024 22:00,10.92,11.06
33,5/11/2024 23:00,10.68,10.88
34,5/12/2024 0:00,9.88,10.66
35,5/12/2024 1:00,9.84,10.6
36,5/12/2024 2:00,9.24,10.68
37,5/12/2024 3:00,8.7,10.78
38,5/12/2024 4:00,10.26,11.02
39,5/12/2024 5:00,10.25,11.02
40,5/12/2024 6:00,10.5,11
41,5/12/2024 7:00,10.17,11.04
42,5/12/2024 8:00,10.17,11.02
43,5/12/2024 9:00,10.15,11.14
44,5/12/2024 10:00,11.22,11.38
45,5/12/2024 11:00,10.4,11.82
46,5/12/2024 12:00,15.78,15.3
47,5/12/2024 13:00,9.45,18.22
48,5/12/2024 14:00,8.66,22.34
49,5/12/2024 15:00,8.31,23.94
50,5/12/2024 16:00,8.39,23.7
51,5/12/2024 17:00,23.12,19
52,5/12/2024 18:00,18.14,15.1
53,5/12/2024 19:00,17.73,14.64
54,5/12/2024 20:00,14.39,13.08
55,5/12/2024 21:00,13.19,12.42
56,5/12/2024 22:00,13,12.46
57,5/12/2024 23:00,11.69,11.74
58,5/13/2024 0:00,10.62,11.06
59,5/13/2024 1:00,9.98,10.88
60,5/13/2024 2:00,9.71,10.64
61,5/13/2024 3:00,9.5,10.72
62,5/13/2024 4:00,8.83,10.94
63,5/13/2024 5:00,8.07,11.04
64,5/13/2024 6:00,10.42,11.28
65,5/13/2024 7:00,10.88,11.24
66,5/13/2024 8:00,9.37,11.28
67,5/13/2024 9:00,10.92,11.34
68,5/13/2024 10:00,10.7,11.44
69,5/13/2024 11:00,12.39,11.66
70,5/13/2024 12:00,11.28,12.22
71,5/13/2024 13:00,14.68,13.88
72,5/13/2024 14:00,9.28,19.06
73,5/13/2024 15:00,9.81,16.66
74,5/13/2024 16:00,9.19,19.74
75,5/13/2024 17:00,9.58,18.46
76,5/13/2024 18:00,26.34,15.32
77,5/13/2024 19:00,19.11,13.72
78,5/13/2024 20:00,15.4,13.22
79,5/13/2024 21:00,13.45,12.14
80,5/13/2024 22:00,12.91,11.9
81,5/13/2024 23:00,12.38,11.62
82,5/14/2024 0:00,12.47,11.6
83,5/14/2024 1:00,12.14,11.52
84,5/14/2024 2:00,10.74,11.06
85,5/14/2024 3:00,10.22,10.78
86,5/14/2024 4:00,10.64,11.02
87,5/14/2024 5:00,10.12,11.04
88,5/14/2024 6:00,10.33,11.1
89,5/14/2024 7:00,11.15,11.12
90,5/14/2024 8:00,11.66,11.22
91,5/14/2024 9:00,12.38,11.36
92,5/14/2024 10:00,12.61,11.68
93,5/14/2024 11:00,13.29,12.16
94,5/14/2024 12:00,14.3,12.52
95,5/14/2024 13:00,15.02,13.36
96,5/14/2024 14:00,16.32,15.3
97,5/14/2024 15:00,9.38,18.32
98,5/14/2024 16:00,8.89,21.48
99,5/14/2024 17:00,8.25,25.5
100,5/14/2024 18:00,22.8,20.16
101,5/14/2024 19:00,21.48,16.9
102,5/14/2024 20:00,15.52,14.84
103,5/14/2024 21:00,13.4,14.12
104,5/14/2024 22:00,12.58,13.68
105,5/14/2024 23:00,12.74,13.58
106,5/15/2024 0:00,12.76,12.7
107,5/15/2024 1:00,12.97,12.78
108,5/15/2024 2:00,12.37,12.6
109,5/15/2024 3:00,12.14,12.08
110,5/15/2024 4:00,10.96,12.04
111,5/15/2024 5:00,10.53,12.02
112,5/15/2024 6:00,10.52,11.84
113,5/15/2024 7:00,10.91,11.94
114,5/15/2024 8:00,11.78,11.88
115,5/15/2024 9:00,13.06,12.04
116,5/15/2024 10:00,13.5,12.3
117,5/15/2024 11:00,13.55,12.64
118,5/15/2024 12:00,13.8,12.96
119,5/15/2024 13:00,14.57,13.42
120,5/15/2024 14:00,15.86,14.06
121,5/15/2024 15:00,17.44,15.06
122,5/15/2024 16:00,19.87,17.62
123,5/15/2024 17:00,20.74,19.6
124,5/15/2024 18:00,21.78,19.2
125,5/15/2024 19:00,19.2,15.7
126,5/15/2024 20:00,18.51,14.8
127,5/15/2024 21:00,17.85,14.64
128,5/15/2024 22:00,13.73,13.68
129,5/15/2024 23:00,13.35,13.34
130,5/16/2024 0:00,13.44,13.12
131,5/16/2024 1:00,13.23,12.58
132,5/16/2024 2:00,13.52,12.76
133,5/16/2024 3:00,13.19,12.72
134,5/16/2024 4:00,13.18,12.62
135,5/16/2024 5:00,12.24,12.64
136,5/16/2024 6:00,12.08,12.62
137,5/16/2024 7:00,12.37,12.68
138,5/16/2024 8:00,11.95,12.76
139,5/16/2024 9:00,12.9,12.84
140,5/16/2024 10:00,13.86,13.02
141,5/16/2024 11:00,14.3,13.2
142,5/16/2024 12:00,14.97,13.48
143,5/16/2024 13:00,15.37,13.8
144,5/16/2024 14:00,14.57,13.98
145,5/16/2024 15:00,15.73,14.24
146,5/16/2024 16:00,19.07,14.18
147,5/16/2024 17:00,19.32,14.38
148,5/16/2024 18:00,19.23,14.52
149,5/16/2024 19:00,19.45,14.44
150,5/16/2024 20:00,18.57,13.82
151,5/16/2024 21:00,16.27,13.1
152,5/16/2024 22:00,15.64,13.18
153,5/16/2024 23:00,14.05,12.56
154,5/17/2024 0:00,14.27,12.48
155,5/17/2024 1:00,14.05,12.36
156,5/17/2024 2:00,13.71,12.22
157,5/17/2024 3:00,13.58,12.18
158,5/17/2024 4:00,12.97,12.2
159,5/17/2024 5:00,12.7,12.24
160,5/17/2024 6:00,12.64,12.18
161,5/17/2024 7:00,12.65,12.2
162,5/17/2024 8:00,12.46,12.3
163,5/17/2024 9:00,14.21,12.54
164,5/17/2024 10:00,15.74,12.98
165,5/17/2024 11:00,18.56,14
166,5/17/2024 12:00,16.58,14.4
167,5/17/2024 13:00,16.5,14.58
168,5/17/2024 14:00,19.35,14.9
169,5/17/2024 15:00,23.35,15.08
170,5/17/2024 16:00,26.13,15.18
171,5/17/2024 17:00,27.57,15.4
172,5/17/2024 18:00,24.11,15.08
173,5/17/2024 19:00,24.9,14.96
174,5/17/2024 20:00,21.42,14.86
175,5/17/2024 21:00,16.52,14.72
176,5/17/2024 22:00,18.87,14.8
177,5/17/2024 23:00,13.01,14.64
178,5/18/2024 0:00,12.82,14.52
179,5/18/2024 1:00,12.74,14.54
180,5/18/2024 2:00,12.21,14.5
181,5/18/2024 3:00,13.45,12.54
182,5/18/2024 4:00,12.62,12.76
183,5/18/2024 5:00,11.04,12.88
184,5/18/2024 6:00,10.53,13.1
185,5/18/2024 7:00,9.54,13.44
186,5/18/2024 8:00,10.41,13.46
187,5/18/2024 9:00,9.85,13.32
188,5/18/2024 10:00,11.04,13.46
189,5/18/2024 11:00,12.42,13.62
190,5/18/2024 12:00,13.26,13.68
191,5/18/2024 13:00,13.76,13.74
192,5/18/2024 14:00,13.54,13.76
193,5/18/2024 15:00,13.09,13.68
194,5/18/2024 16:00,13.09,13.76
195,5/18/2024 17:00,13.68,13.5
196,5/18/2024 18:00,14.17,13.24
197,5/18/2024 19:00,14.75,13.42
198,5/18/2024 20:00,14.68,13.4
199,5/18/2024 21:00,14.74,13.42
200,5/18/2024 22:00,13.77,13.46
201,5/18/2024 23:00,12.65,13.54
202,5/19/2024 0:00,13.28,13.36
203,5/19/2024 1:00,12.74,13.3
204,5/19/2024 2:00,12.96,13
205,5/19/2024 3:00,12.82,12.88
206,5/19/2024 4:00,12.22,12.74
207,5/19/2024 5:00,11.85,12.48
208,5/19/2024 6:00,11.27,12.1
209,5/19/2024 7:00,11.38,12.18
210,5/19/2024 8:00,12.54,12.52
211,5/19/2024 9:00,17.57,12.92
212,5/19/2024 10:00,19.9,16.64
213,5/19/2024 11:00,17.91,14.36
214,5/19/2024 12:00,18.49,14.52
215,5/19/2024 13:00,18.72,14.74
216,5/19/2024 14:00,18.78,14.84
217,5/19/2024 15:00,14.92,14.2
218,5/19/2024 16:00,14.65,14.06
219,5/19/2024 17:00,14.66,13.58
220,5/19/2024 18:00,13.64,13.12
221,5/19/2024 19:00,13.82,13.18
222,5/19/2024 20:00,14.05,13.2
223,5/19/2024 21:00,13.58,13.2
224,5/19/2024 22:00,13.68,13.32
225,5/19/2024 23:00,13.87,13.14
226,5/20/2024 0:00,13.31,13.24
227,5/20/2024 1:00,13.24,13.24
228,5/20/2024 2:00,12.92,13.32
229,5/20/2024 3:00,12.87,13.08
230,5/20/2024 4:00,12.58,13.06
231,5/20/2024 5:00,12.62,12.92
232,5/20/2024 6:00,11.8,12.46
233,5/20/2024 7:00,10.93,12.44
234,5/20/2024 8:00,12.99,12.72
235,5/20/2024 9:00,9.86,15.96
236,5/20/2024 10:00,9.09,19.54
237,5/20/2024 11:00,9.35,18.88
238,5/20/2024 12:00,23.42,16.42
239,5/20/2024 13:00,18.8,15.3
240,5/20/2024 14:00,18.18,15.3
241,5/20/2024 15:00,18.25,15.52
242,5/20/2024 16:00,14.43,14.4
243,5/20/2024 17:00,14.08,13.74
244,5/20/2024 18:00,14.11,13.3
245,5/20/2024 19:00,14.14,13.24
246,5/20/2024 20:00,13.69,13.18
247,5/20/2024 21:00,13.2,13.1
248,5/20/2024 22:00,12.71,13.52
249,5/20/2024 23:00,13.18,13.16
250,5/21/2024 0:00,12.96,13.28
251,5/21/2024 1:00,12.27,13.36
252,5/21/2024 2:00,11.14,13.32
253,5/21/2024 3:00,11.5,13.28
254,5/21/2024 4:00,11.02,13.28
255,5/21/2024 5:00,11.37,13.34
256,5/21/2024 6:00,11.62,13.36
257,5/21/2024 7:00,11.13,13.36
258,5/21/2024 8:00,9.62,13.34
259,5/21/2024 9:00,11.13,10.96
260,5/21/2024 10:00,11.11,11.04
261,5/21/2024 11:00,10.82,12.4
262,5/21/2024 12:00,15.46,12.98
263,5/21/2024 13:00,14.04,13.48
264,5/21/2024 14:00,12.54,13.52
265,5/21/2024 15:00,12.72,13.42
266,5/21/2024 16:00,12.72,13.4
267,5/21/2024 17:00,12.62,12.94
268,5/21/2024 18:00,12.38,12.64
269,5/21/2024 19:00,12.2,12.6
270,5/21/2024 20:00,11.87,12.62
271,5/21/2024 21:00,11.62,12.68
272,5/21/2024 22:00,11.41,12.6
273,5/21/2024 23:00,11.41,12.52
274,5/22/2024 0:00,11.06,12.48
275,5/22/2024 1:00,10.43,12.46
276,5/22/2024 2:00,9.98,12.48
277,5/22/2024 3:00,9.82,12.54
278,5/22/2024 4:00,9.17,12.7
279,5/22/2024 5:00,9.69,12.72
280,5/22/2024 6:00,9.25,12.7
281,5/22/2024 7:00,8.98,12.66
282,5/22/2024 8:00,8.92,12.7
283,5/22/2024 9:00,10.55,12.06
284,5/22/2024 10:00,10.41,13.14
285,5/22/2024 11:00,11,11.78
286,5/22/2024 12:00,9.64,17.66
287,5/22/2024 13:00,17.63,17.84
288,5/22/2024 14:00,16.67,14.6
289,5/22/2024 15:00,15.22,14.46
290,5/22/2024 16:00,13.01,13.68
291,5/22/2024 17:00,12.72,13.42
292,5/22/2024 18:00,12.34,13.02
293,5/22/2024 19:00,12.24,13.14
294,5/22/2024 20:00,11.82,13.1
295,5/22/2024 21:00,11.69,13.12
296,5/22/2024 22:00,10.78,13.14
297,5/22/2024 23:00,9.99,13.16
298,5/23/2024 0:00,10.09,13.14
299,5/23/2024 1:00,10.6,13.1
300,5/23/2024 2:00,10.09,12.36
301,5/23/2024 3:00,10.65,12.4
302,5/23/2024 4:00,9.32,12.52
303,5/23/2024 5:00,10.3,12.64
304,5/23/2024 6:00,10.75,12.66
305,5/23/2024 7:00,11.15,12.68
306,5/23/2024 8:00,10.53,12.88
307,5/23/2024 9:00,12.37,14.12
308,5/23/2024 10:00,10.34,14.1
309,5/23/2024 11:00,9.94,16.76
310,5/23/2024 12:00,9.38,19.44
311,5/23/2024 13:00,8.81,22.78
312,5/23/2024 14:00,20.13,18.34
313,5/23/2024 15:00,16.09,15.7
314,5/23/2024 16:00,14.87,14.3
315,5/23/2024 17:00,12.89,13.4
316,5/23/2024 18:00,10.61,12.72
317,5/23/2024 19:00,11.14,12.62
318,5/23/2024 20:00,9.97,12.5
319,5/23/2024 21:00,9.49,11.38
320,5/23/2024 22:00,9.01,10.96
321,5/23/2024 23:00,8.77,11.3
322,5/24/2024 0:00,8.02,11.42
323,5/24/2024 1:00,8.12,11.74
324,5/24/2024 2:00,7.57,11.96
325,5/24/2024 3:00,7.83,12.2
326,5/24/2024 4:00,7.21,12.26
327,5/24/2024 5:00,6.7,12.34
328,5/24/2024 6:00,10.07,12.26
329,5/24/2024 7:00,10.03,12.38
330,5/24/2024 8:00,10.65,12.42
331,5/24/2024 9:00,9.8,12.54
332,5/24/2024 10:00,10.79,12.04
333,5/24/2024 11:00,10.8,12.1
334,5/24/2024 12:00,10.69,12.8
335,5/24/2024 13:00,10.26,15.24
336,5/24/2024 14:00,10.29,14.62
337,5/24/2024 15:00,17.68,13.58
338,5/24/2024 16:00,15.1,13.22
339,5/24/2024 17:00,11.9,12.22
340,5/24/2024 18:00,11.33,12.02
341,5/24/2024 19:00,11.1,12.04
342,5/24/2024 20:00,10.36,11.76
343,5/24/2024 21:00,8.31,11.5
