"Date Time, GMT-07:00",DO_mgL,Temp_C
8/2/2023 13:45,7.84,29.88
8/2/2023 14:00,7.64,27.26
8/2/2023 14:15,16.08,24.84
8/2/2023 14:30,17.57,20.74
8/2/2023 14:45,13.59,17.78
8/2/2023 15:00,12.89,16.68
8/2/2023 15:15,12.09,16.08
8/2/2023 15:30,11.78,15.8
8/2/2023 15:45,11.84,16
8/2/2023 16:00,11.99,16.18
8/2/2023 16:15,10.91,15.8
8/2/2023 16:30,10.62,15.08
8/2/2023 16:45,10.69,14.78
8/2/2023 17:00,10.8,14.62
8/2/2023 17:15,10.86,14.52
8/2/2023 17:30,11.24,14.52
8/2/2023 17:45,11.9,14.6
8/2/2023 18:00,12.14,14.56
8/2/2023 18:15,12.12,14.54
8/2/2023 18:30,12,14.48
8/2/2023 18:45,11.86,14.38
8/2/2023 19:00,11.57,14.24
8/2/2023 19:15,11.27,14.06
8/2/2023 19:30,10.49,13.84
8/2/2023 19:45,9.38,13.38
8/2/2023 20:00,8.69,13.06
8/2/2023 20:15,8.37,12.84
8/2/2023 20:30,8.07,12.72
8/2/2023 20:45,7.82,12.6
8/2/2023 21:00,7.66,12.54
8/2/2023 21:15,7.38,12.46
8/2/2023 21:30,7.34,12.38
8/2/2023 21:45,7.54,12.94
8/2/2023 22:00,7.76,13.46
8/2/2023 22:15,8.76,13.28
8/2/2023 22:30,7.64,13.32
8/2/2023 22:45,6.2,13.22
8/2/2023 23:00,5.85,13.2
8/2/2023 23:15,5.74,13.18
8/2/2023 23:30,6.03,12.98
8/2/2023 23:45,5.76,12.96
8/3/2023 0:00,5.57,12.98
8/3/2023 0:15,5.41,13
8/3/2023 0:30,5.21,13.04
8/3/2023 0:45,4.8,13.1
8/3/2023 1:00,4.35,13.16
8/3/2023 1:15,4.3,13.22
8/3/2023 1:30,7.38,13.4
8/3/2023 1:45,8.97,13.54
8/3/2023 2:00,8.48,13.56
8/3/2023 2:15,7.87,13.7
8/3/2023 2:30,4.69,13.7
8/3/2023 2:45,7.43,13.74
8/3/2023 3:00,9.22,13.82
8/3/2023 3:15,9.44,13.8
8/3/2023 3:30,6.9,13.76
8/3/2023 3:45,6.99,13.74
8/3/2023 4:00,7.95,13.72
8/3/2023 4:15,8.22,13.7
8/3/2023 4:30,8.92,13.68
8/3/2023 4:45,9.37,13.68
8/3/2023 5:00,9.61,13.72
8/3/2023 5:15,9.52,13.68
8/3/2023 5:30,9.41,13.58
8/3/2023 5:45,9.29,13.52
8/3/2023 6:00,9.18,13.44
8/3/2023 6:15,9.14,13.4
8/3/2023 6:30,8.98,13.34
8/3/2023 6:45,9.02,13.3
8/3/2023 7:00,9.44,13.42
8/3/2023 7:15,9.36,13.5
8/3/2023 7:30,9.35,13.52
8/3/2023 7:45,9.4,13.52
8/3/2023 8:00,9.36,13.56
8/3/2023 8:15,9.61,13.58
8/3/2023 8:30,9.33,13.64
8/3/2023 8:45,9.6,13.64
8/3/2023 9:00,9.23,13.68
